team1,team2,score1,score2,first_half_goals1,first_half_goals2,rating1,rating2,strategy1,strategy2
Arsenal,Brighton and Hove Albion,2,0,0.0,0.0,5.390350877192983,2.5328947368421026,1,1
Aston Villa,Brighton and Hove Albion,1,2,1.0,0.0,4.925438596491231,2.5328947368421026,1,1
Liverpool,Brighton and Hove Albion,0,1,0.0,0.0,7.655701754385969,2.5328947368421026,1,1
Manchester City,Brighton and Hove Albion,1,0,1.0,0.0,7.986842105263154,2.5328947368421026,1,1
Sheffield United,Brighton and Hove Albion,1,0,1.0,0.0,2.304824561403512,2.5328947368421026,1,1
West Ham United,Brighton and Hove Albion,2,2,1.0,0.0,2.824561403508776,2.5328947368421026,1,1
Burnley,Brighton and Hove Albion,1,1,1.0,0.0,6.60526315789474,2.5328947368421026,1,1
West Bromwich Albion,Brighton and Hove Albion,1,0,1.0,0.0,2.296052631578947,2.5328947368421026,1,1
Chelsea,Brighton and Hove Albion,0,0,0.0,0.0,3.260964912280702,2.5328947368421026,1,1
Manchester United,Brighton and Hove Albion,2,1,1.0,0.0,3.655701754385971,2.5328947368421026,1,1
Arsenal,West Bromwich Albion,3,1,2.0,0.0,5.390350877192983,2.296052631578947,1,1
Aston Villa,West Bromwich Albion,2,2,1.0,1.0,4.925438596491231,2.296052631578947,1,1
Liverpool,West Bromwich Albion,1,1,1.0,0.0,7.655701754385969,2.296052631578947,1,1
Manchester City,West Bromwich Albion,1,1,1.0,1.0,7.986842105263154,2.296052631578947,1,1
Sheffield United,West Bromwich Albion,2,1,1.0,0.0,2.304824561403512,2.296052631578947,1,1
West Ham United,West Bromwich Albion,2,1,1.0,0.0,2.824561403508776,2.296052631578947,1,1
Burnley,West Bromwich Albion,0,0,0.0,0.0,6.60526315789474,2.296052631578947,1,1
Chelsea,West Bromwich Albion,2,5,1.0,2.0,3.260964912280702,2.296052631578947,1,1
Brighton and Hove Albion,West Bromwich Albion,1,1,1.0,0.0,2.5328947368421026,2.296052631578947,1,1
Manchester United,West Bromwich Albion,1,0,0.0,0.0,3.655701754385971,2.296052631578947,1,1
Arsenal,Liverpool,0,3,0.0,0.0,5.390350877192983,7.655701754385969,1,1
Aston Villa,Liverpool,7,2,4.0,1.0,4.925438596491231,7.655701754385969,1,1
Manchester City,Liverpool,1,1,1.0,1.0,7.986842105263154,7.655701754385969,1,1
Sheffield United,Liverpool,0,2,0.0,0.0,2.304824561403512,7.655701754385969,1,1
