team,first_half_goals,formation_used,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost,first_half_goals_av_diff,formation_used_av_diff,touches_av_diff,total_pass_av_diff,long_pass_own_to_opp_success_av_diff,pen_area_entries_av_diff,final_third_entries_av_diff,total_fwd_zone_pass_av_diff,total_final_third_passes_av_diff,attempts_obox_av_diff,attempts_ibox_av_diff,total_offside_av_diff,total_tackle_av_diff,blocked_pass_av_diff,interception_av_diff,total_back_zone_pass_av_diff,fk_foul_lost_av_diff
Arsenal,0.6052631578947368,3191.2631578947367,701.2631578947369,529.6315789473684,36.86842105263158,28.236842105263158,56.26315789473684,288.92105263157896,143.0,4.184210526315789,7.7105263157894735,1.5789473684210527,12.0,14.894736842105264,9.236842105263158,260.4736842105263,9.105263157894736,-5.54414784394248,29.691737750361447,6.506156038233196,12.070429633011926,-0.7720093491040355,1.686884003032605,4.445530043966775,7.003625589645648,10.030068945967011,-4.504504504504511,-0.06821282401092289,-7.975460122699374,-22.698762502119003,-8.672851956434032,-10.390605054888944,18.03075382037812,-16.45539055897622
Aston Villa,0.6578947368421053,3229.157894736842,595.2631578947369,399.7105263157895,35.63157894736842,30.263157894736842,56.26315789473684,249.81578947368422,131.81578947368422,4.631578947368421,8.763157894736842,1.6578947368421053,13.947368421052632,14.578947368421053,10.18421052631579,170.39473684210526,11.552631578947368,2.6694045174538337,31.23176564197771,-9.59286814827248,-15.420960166162272,-4.10085700120406,8.984078847611835,4.445530043966775,-7.479240575416146,1.424478349346484,5.7057057057057055,13.574351978171894,-3.3742331288343412,-10.154263434480418,-10.60911657926582,-1.1998978810313978,-22.78751960123779,6.000241458408786
Fulham,0.47368421052631576,2718.2894736842104,667.7105263157895,468.3157894736842,38.078947368421055,27.605263157894736,51.68421052631579,253.78947368421052,122.07894736842105,4.473684210526316,7.184210526315789,1.2105263157894737,15.81578947368421,15.973684210526315,11.5,233.21052631578948,12.736842105263158,-26.07802874743325,10.470264628126015,1.4102633277578351,-0.9040362839570601,2.4860117572066067,-0.587566338134947,-4.054714215925754,-6.0075630579704375,-6.067447581829045,2.102102102102101,-6.889495225102325,-29.447852760736186,1.8816748601457882,-2.057281161758767,11.564973193770749,5.676756956576176,16.86586985391766
Leeds United,0.6842105263157895,4017.6052631578946,689.921052631579,490.8421052631579,35.1578947368421,32.73684210526316,51.63157894736842,251.5,128.89473684210526,4.657894736842105,9.289473684210526,2.1315789473684212,19.473684210526315,16.342105263157894,10.447368421052632,259.9736842105263,11.368421052631579,6.776180698151982,63.273970961918494,4.7835444631627,3.862548619444424,-5.3757348254125725,17.89234268385141,-4.152418172936017,-6.855483217028563,-0.8230994300061821,6.306306306306303,20.395634379263285,24.233128834355856,25.444990676385824,0.2016942315449836,1.3530763339290348,17.80418437982577,4.310032596885185
Leicester City,0.7368421052631579,3183.2105263157896,703.2894736842105,515.1842105263158,36.3421052631579,26.657894736842106,56.078947368421055,285.13157894736844,130.42105263157896,4.526315789473684,7.684210526315789,1.9210526315789473,17.92105263157895,17.68421052631579,11.526315789473685,247.1315789473684,10.868421052631579,14.98973305954828,29.364481823393003,6.813907990159937,9.013355904078038,-2.1885402648912744,-3.999241849886268,4.103566194430872,5.600171533273579,0.3513105808267492,3.3033033033032955,-0.4092769440654913,11.963190184049093,15.44329547380913,8.430818878580096,11.820270615266798,11.984927169849561,-0.27767717010745036
Liverpool,0.6578947368421053,735.2105263157895,828.0526315789474,639.2631578947369,50.13157894736842,39.73684210526316,66.0,389.13157894736844,188.39473684210526,5.184210526315789,10.68421052631579,1.736842105263158,13.842105263157896,16.763157894736842,9.131578947368421,272.8157894736842,10.421052631578947,2.6694045174538337,-70.12131997501733,25.762635315935366,35.268551954940165,34.924569728734326,43.100833965125105,22.52076209086467,44.1171884137071,44.958642544015056,18.318318318318312,38.47203274215551,1.2269938650306917,-10.832344465163581,2.783380395320708,-11.41179474087311,23.62344158980199,-4.3824701195219165
Manchester City,0.7631578947368421,1675.0,845.6578947368421,675.0263157894736,49.578947368421055,30.63157894736842,62.89473684210526,413.8421052631579,195.47368421052633,5.052631578947368,10.368421052631579,1.5263157894736843,13.105263157894736,14.421052631578947,8.394736842105264,277.8157894736842,9.5,19.096509240246444,-31.92862826293411,28.436480196961256,42.83606233312077,33.43721226715773,10.31084154662624,16.756228627259393,53.26887840629998,50.4054751804643,15.315315315315303,34.37926330150067,-11.042944785276058,-15.578911679945756,-11.57724889068172,-18.560122542762308,25.889135995325514,-12.833514427139924
Sheffield United,0.47368421052631576,783.0526315789474,564.5526315789474,385.44736842105266,30.86842105263158,26.263157894736842,54.526315789473685,249.23684210526315,130.76315789473685,2.8947368421052633,5.605263157894737,1.736842105263158,16.68421052631579,15.736842105263158,9.236842105263158,153.73684210526315,12.078947368421053,-26.07802874743325,-68.1770347618518,-14.257108770331103,-18.439054812942178,-16.920461789078548,-5.4207733131159905,1.2212994626282316,-7.693657167361885,0.6145404108410208,-33.933933933933936,-27.353342428376536,1.2269938650306917,7.475843363281923,-3.509479628882605,-10.390605054888944,-30.335859383850377,10.829409634190515
West Ham United,0.868421052631579,3241.2368421052633,580.5,398.7368421052632,35.026315789473685,25.789473684210527,52.421052631578945,243.8684210526316,113.60526315789474,4.447368421052632,8.5,1.6842105263157894,13.526315789473685,16.789473684210527,11.5,175.26315789473685,9.868421052631579,35.52361396303906,31.722649532430403,-11.835060940881643,-15.626992457547614,-5.729867554359372,-7.12661106899165,-2.6868588177821304,-9.681883747222313,-12.587447986798011,1.5015015015015036,10.163710777626187,-1.8404907975460052,-12.866587557213084,2.9447357805566945,11.564973193770749,-20.58144873270172,-9.45309670409272
Wolverhampton Wanderers,0.5526315789473685,2432.657894736842,649.5,461.10526315789474,40.5,23.789473684210527,46.578947368421055,254.76315789473685,108.71052631578948,4.7105263157894735,7.394736842105263,1.263157894736842,15.473684210526315,15.210526315789474,11.368421052631579,226.73684210526315,11.210526315789474,-13.757700205338777,-1.1376956049315328,-1.3555074609864382,-2.4297889282701526,9.002053969827891,-14.329037149355564,-13.531998045920862,-5.646953335152609,-16.353659400848407,7.507507507507498,-4.160982264665767,-26.3803680981595,-0.32208848957450875,-6.736587333602244,10.288486086290533,2.74327893679308,2.8612821441506764
Burnley,0.5526315789473685,964.2368421052631,541.7368421052631,364.36842105263156,33.60526315789474,32.973684210526315,64.86842105263158,246.5,121.10526315789474,3.9473684210526314,6.157894736842105,2.1842105263157894,13.342105263157896,13.763157894736842,10.947368421052632,138.18421052631578,10.105263157894736,-13.757700205338777,-60.81377640506157,-17.722315813454355,-22.89937549941951,-9.554501026984905,18.74526156178924,20.4201270151441,-8.707262874741712,-6.816640174946596,-9.909909909909917,-20.190995907230562,27.300613496932524,-14.053229360908622,-15.611133521581271,6.20372734235385,-37.38336145576829,-7.2799710249909495
West Bromwich Albion,0.7894736842105263,3194.5789473684213,513.5,326.0263157894737,28.763157894736842,23.86842105263158,53.63157894736842,203.57894736842104,101.52631578947368,3.8684210526315788,5.5,1.868421052631579,15.289473684210526,15.026315789473685,11.447368421052632,138.3421052631579,10.631578947368421,23.203285420944596,29.826490190877884,-22.01085924744655,-31.012593027755898,-22.586585452227496,-14.044730856709625,-0.4396678065461776,-24.603329304900388,-21.88148583114819,-11.71171171171172,-28.717598908594823,8.895705521472408,-1.5087302932700497,-7.8660750302541205,11.054378350778665,-37.31181321138333,-2.4508028492092215
Crystal Palace,0.6842105263157895,736.6315789473684,558.6052631578947,370.1842105263158,33.10526315789474,20.86842105263158,46.21052631578947,216.23684210526315,102.71052631578948,3.8684210526315788,5.894736842105263,1.8421052631578947,16.736842105263158,17.42105263157895,10.447368421052632,167.97368421052633,10.763157894736842,6.776180698151982,-70.06356892908173,-15.1603807331291,-21.66875019141515,-10.900205396982782,-24.848369977255494,-14.21592574499268,-19.915402908268675,-20.970305650329543,-11.71171171171172,-23.60163710777627,7.361963190184059,7.814883878623494,6.81726502622027,1.3530763339290348,-23.884592681807067,-1.2435108052637895
Everton,0.6052631578947368,3077.5789473684213,636.8684210526316,450.8421052631579,36.44736842105263,24.710526315789473,47.921052631578945,226.18421052631578,105.07894736842105,3.973684210526316,6.7105263157894735,1.4473684210526316,16.842105263157894,17.44736842105263,10.31578947368421,242.07894736842104,10.157894736842104,-5.54414784394248,25.071654075512683,-3.2739611872830463,-4.601480648277832,-1.9052340817338382,-11.012130401819558,-11.040547142159268,-16.23133601029199,-19.147945288692256,-9.30930930930931,-13.028649386084593,-15.64417177914109,8.492964909306657,6.978620411456235,0.07658922644881849,9.69538334953105,-6.797054207412781
Newcastle United,0.5526315789473685,1198.4736842105262,528.0263157894736,345.1578947368421,29.842105263157894,22.57894736842105,44.73684210526316,193.18421052631578,87.73684210526316,3.8684210526315788,6.578947368421052,1.5789473684210527,13.473684210526315,15.368421052631579,9.526315789473685,169.1315789473684,10.210526315789474,-13.757700205338777,-51.294479000008565,-19.804637462205463,-26.964336924049277,-19.68269707486366,-18.688400303260046,-16.951636541279928,-28.453081751198777,-32.49167282556974,-11.71171171171172,-14.733969986357446,-7.975460122699374,-13.205628072554676,-5.768455022186355,-7.582333418432461,-23.359905556317422,-6.314137389834594
Tottenham Hotspur,0.9210526315789473,3362.7368421052633,688.2105263157895,501.8421052631579,39.13157894736842,23.13157894736842,49.18421052631579,261.5263157894737,115.60526315789474,4.2105263157894735,7.131578947368421,1.4210526315789473,16.736842105263158,17.05263157894737,9.0,254.1578947368421,11.578947368421053,43.73716632443536,36.66036395992503,4.523753854393367,6.190156668068044,5.319073588781065,-16.698256254738432,-8.695652173913054,-3.1421776928774507,-11.048565903637634,-3.903903903903913,-7.571623465211463,-17.177914110429437,7.814883878623494,4.55828963291652,-12.688281848353327,15.168824044979992,6.24169986719788
Chelsea,0.47368421052631576,2364.4473684210525,820.3157894736842,633.421052631579,45.55263157894737,30.342105263157894,55.973684210526315,341.10526315789474,163.0,4.947368421052632,9.605263157894736,1.9210526315789473,16.105263157894736,18.394736842105264,10.052631578947368,312.0263157894737,11.394736842105264,-26.07802874743325,-3.909745809840804,24.587582408578687,34.032358206628096,22.60075076138537,9.268385140257775,3.908158280410349,26.330357490936045,25.41888977757079,12.912912912912914,24.48840381991813,11.963190184049093,3.746397694524492,12.787414279951609,-2.4763849885116143,41.39125561206542,4.551491005674278
Brighton and Hove Albion,0.3684210526315789,3459.3684210526317,659.8421052631579,478.55263157894734,34.1578947368421,31.026315789473685,55.421052631578945,264.13157894736844,135.31578947368422,4.184210526315789,8.421052631578947,1.263157894736842,16.526315789473685,16.657894736842106,11.18421052631579,232.47368421052633,11.263157894736842,-42.50513347022586,40.58743508354649,0.21522652741891093,1.2620869957429042,-8.067143565408323,11.73237300985596,2.8822667318026274,-2.1773030291216506,4.117521994877145,-4.504504504504511,9.14051841746247,-26.3803680981595,6.4587218172571665,2.1379588543767825,8.501404135818232,5.342865149446397,3.3441989617288463
Manchester United,0.7894736842105263,5206.315789473684,737.8947368421053,552.578947368421,38.78947368421053,29.342105263157894,55.973684210526315,323.57894736842104,167.23684210526315,5.526315789473684,8.526315789473685,2.210526315789474,14.5,18.55263157894737,10.157894736842104,245.81578947368422,11.894736842105264,23.203285420944596,111.58272088705603,12.069671844493355,16.926109581336792,4.398328493519374,5.667172100075818,3.908158280410349,19.83938248021521,28.678889980055267,26.12612612612612,10.504774897680766,28.834355828220886,-6.594338023393795,13.75554659136751,-1.455195302527448,11.388691799974957,9.139200772666914
Southampton,0.6052631578947368,442.0,657.7894736842105,465.5263157894737,35.526315789473685,24.81578947368421,49.10526315789474,244.18421052631578,106.8157894736842,4.473684210526316,6.605263157894737,2.1315789473684212,19.13157894736842,18.105263157894736,10.552631578947368,235.92105263157896,11.263157894736842,-5.54414784394248,-82.03728578639814,-0.09652220310429195,-1.4942909565745321,-4.384163184361497,-10.633055344958303,-8.842208109428432,-9.564929242524647,-17.81154769015825,2.102102102102101,-14.392905866302867,24.233128834355856,23.241227326665538,11.012505042355798,2.374266019913201,6.905001818517878,3.3441989617288463
