team,formation_used,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Aston Villa,4231.0,431.0,250.0,29.0,16.0,45.0,140.0,76.0,2.0,4.0,2.0,14.0,23.0,7.0,116.0,11.0
Aston Villa,4231.0,671.0,502.0,50.0,30.0,35.0,257.0,106.0,6.0,7.0,2.0,7.0,13.0,6.0,265.0,9.0
Aston Villa,4231.0,560.0,383.0,33.0,31.0,58.0,202.0,106.0,6.0,5.0,0.0,14.0,14.0,10.0,197.0,13.0
Aston Villa,4231.0,756.0,551.0,42.0,56.0,74.0,411.0,227.0,8.0,16.0,2.0,13.0,7.0,7.0,182.0,14.0
Aston Villa,4141.0,441.0,304.0,24.0,16.0,36.0,142.0,67.0,1.0,7.0,1.0,12.0,10.0,5.0,176.0,12.0
Aston Villa,4231.0,633.0,418.0,39.0,31.0,63.0,244.0,124.0,7.0,7.0,5.0,15.0,19.0,14.0,197.0,14.0
Aston Villa,4231.0,613.0,416.0,35.0,35.0,63.0,248.0,122.0,4.0,4.0,1.0,24.0,13.0,12.0,193.0,18.0
Aston Villa,433.0,585.0,410.0,33.0,27.0,60.0,224.0,113.0,3.0,6.0,3.0,23.0,7.0,7.0,207.0,13.0
Aston Villa,4231.0,634.0,430.0,37.0,34.0,54.0,253.0,129.0,5.0,6.0,4.0,17.0,17.0,9.0,205.0,11.0
Aston Villa,4231.0,508.0,316.0,34.0,17.0,51.0,202.0,114.0,3.0,9.0,1.0,18.0,15.0,10.0,122.0,12.0
Aston Villa,4231.0,671.0,480.0,39.0,38.0,56.0,296.0,157.0,3.0,6.0,1.0,13.0,18.0,4.0,207.0,11.0
Aston Villa,4231.0,758.0,567.0,53.0,27.0,52.0,296.0,131.0,5.0,9.0,1.0,11.0,22.0,12.0,287.0,9.0
Aston Villa,4231.0,503.0,298.0,34.0,27.0,59.0,220.0,126.0,3.0,17.0,1.0,17.0,9.0,12.0,95.0,18.0
Aston Villa,4231.0,597.0,388.0,37.0,34.0,41.0,257.0,120.0,9.0,18.0,1.0,6.0,16.0,9.0,158.0,17.0
Aston Villa,4231.0,654.0,457.0,38.0,51.0,54.0,342.0,180.0,7.0,8.0,2.0,7.0,14.0,7.0,156.0,5.0
Aston Villa,4231.0,567.0,371.0,37.0,40.0,54.0,240.0,133.0,5.0,14.0,2.0,14.0,12.0,6.0,162.0,12.0
Aston Villa,4231.0,496.0,305.0,27.0,20.0,53.0,201.0,114.0,5.0,7.0,0.0,14.0,15.0,13.0,118.0,14.0
Aston Villa,4231.0,490.0,285.0,29.0,22.0,48.0,205.0,101.0,5.0,13.0,2.0,15.0,21.0,12.0,89.0,7.0
Aston Villa,433.0,732.0,553.0,36.0,55.0,68.0,406.0,243.0,7.0,11.0,1.0,5.0,11.0,7.0,188.0,12.0
Aston Villa,4231.0,570.0,367.0,33.0,26.0,63.0,226.0,143.0,5.0,15.0,3.0,18.0,20.0,11.0,150.0,13.0
Aston Villa,433.0,625.0,393.0,43.0,37.0,60.0,238.0,156.0,7.0,12.0,2.0,13.0,18.0,8.0,177.0,13.0
Aston Villa,4231.0,664.0,469.0,46.0,25.0,62.0,249.0,128.0,6.0,7.0,2.0,15.0,15.0,7.0,236.0,13.0
Aston Villa,433.0,511.0,296.0,35.0,15.0,58.0,184.0,97.0,3.0,6.0,2.0,18.0,21.0,17.0,120.0,11.0
