team,score,attempts_ibox,attempts_obox
West Bromwich Albion,0,0.0,0.0
West Bromwich Albion,0,0.0,0.0
West Bromwich Albion,0,0.0,0.0
West Bromwich Albion,0,0.0,0.0
West Bromwich Albion,3,0.0,0.0
West Bromwich Albion,0,0.0,0.0
West Bromwich Albion,2,0.0,0.0
West Bromwich Albion,1,0.0,0.0
West Bromwich Albion,2,0.0,0.0
West Bromwich Albion,3,0.0,0.0
West Bromwich Albion,0,0.0,0.0
West Bromwich Albion,3,0.0,0.0
West Bromwich Albion,3,0.0,0.0
West Bromwich Albion,4,0.0,0.0
West Bromwich Albion,0,0.0,0.0
West Bromwich Albion,1,0.0,0.0
West Bromwich Albion,4,0.0,0.0
West Bromwich Albion,0,0.0,0.0
West Bromwich Albion,1,0.0,0.0
West Bromwich Albion,1,0.0,0.0
West Bromwich Albion,1,0.0,0.0
West Bromwich Albion,2,0.0,0.0
West Bromwich Albion,0,0.0,0.0
West Bromwich Albion,0,0.0,0.0
West Bromwich Albion,0,0.0,0.0
West Bromwich Albion,2,0.0,0.0
West Bromwich Albion,1,0.0,0.0
West Bromwich Albion,0,0.0,0.0
West Bromwich Albion,2,0.0,0.0
West Bromwich Albion,0,0.0,0.0
West Bromwich Albion,0,0.0,0.0
West Bromwich Albion,1,0.0,0.0
West Bromwich Albion,2,0.0,0.0
West Bromwich Albion,1,0.0,0.0
West Bromwich Albion,1,0.0,0.0
West Bromwich Albion,1,0.0,0.0
West Bromwich Albion,0,0.0,0.0
West Bromwich Albion,1,0.0,0.0
