team,score,attempts_ibox,attempts_obox
Manchester United,1,2.0,5.0
Manchester United,2,10.0,6.0
Manchester United,0,6.0,8.0
Manchester United,2,8.0,3.0
Manchester United,2,5.0,9.0
Manchester United,2,8.0,2.0
Manchester United,2,9.0,7.0
Manchester United,3,12.0,8.0
Manchester United,0,8.0,7.0
Manchester United,2,15.0,9.0
Manchester United,1,7.0,2.0
Manchester United,1,6.0,2.0
Manchester United,1,7.0,8.0
Manchester United,4,14.0,2.0
Manchester United,1,8.0,3.0
Manchester United,4,14.0,4.0
Manchester United,4,12.0,4.0
Manchester United,2,12.0,10.0
Manchester United,4,13.0,8.0
Manchester United,0,7.0,9.0
Manchester United,0,5.0,11.0
Manchester United,2,6.0,7.0
Manchester United,3,3.0,2.0
Manchester United,3,8.0,9.0
Manchester United,0,12.0,1.0
Manchester United,0,5.0,1.0
Manchester United,1,7.0,5.0
Manchester United,2,3.0,18.0
Manchester United,2,9.0,10.0
Manchester United,2,5.0,3.0
Manchester United,3,7.0,1.0
Manchester United,4,8.0,7.0
Manchester United,0,3.0,7.0
Manchester United,1,6.0,3.0
Manchester United,0,2.0,4.0
Manchester United,1,6.0,3.0
Manchester United,2,11.0,7.0
Manchester United,4,10.0,7.0
