team,score,attempts_ibox,attempts_obox
Southampton,0,7.0,1.0
Southampton,2,8.0,6.0
Southampton,2,8.0,2.0
Southampton,0,9.0,9.0
Southampton,0,5.0,1.0
Southampton,1,7.0,11.0
Southampton,1,3.0,7.0
Southampton,1,4.0,6.0
Southampton,1,8.0,4.0
Southampton,1,6.0,5.0
Southampton,1,3.0,3.0
Southampton,4,10.0,7.0
Southampton,0,11.0,2.0
Southampton,1,11.0,9.0
Southampton,2,7.0,5.0
Southampton,0,8.0,6.0
Southampton,0,4.0,5.0
Southampton,3,7.0,7.0
Southampton,0,16.0,13.0
Southampton,1,9.0,4.0
Southampton,1,3.0,8.0
Southampton,0,4.0,2.0
Southampton,2,10.0,5.0
Southampton,0,6.0,3.0
Southampton,0,3.0,3.0
Southampton,1,8.0,5.0
Southampton,3,7.0,6.0
Southampton,2,7.0,3.0
Southampton,0,7.0,1.0
Southampton,2,11.0,5.0
Southampton,0,4.0,2.0
Southampton,1,11.0,4.0
Southampton,1,7.0,0.0
Southampton,0,4.0,1.0
Southampton,1,3.0,3.0
Southampton,1,16.0,5.0
Southampton,1,8.0,5.0
Southampton,0,3.0,3.0
