team,score,attempts_ibox,attempts_obox
Tottenham Hotspur,5,8.0,6.0
Tottenham Hotspur,1,8.0,3.0
Tottenham Hotspur,2,8.0,5.0
Tottenham Hotspur,1,4.0,4.0
Tottenham Hotspur,2,8.0,7.0
Tottenham Hotspur,1,13.0,5.0
Tottenham Hotspur,2,12.0,10.0
Tottenham Hotspur,4,13.0,7.0
Tottenham Hotspur,1,17.0,14.0
Tottenham Hotspur,5,10.0,6.0
Tottenham Hotspur,2,14.0,11.0
Tottenham Hotspur,5,12.0,8.0
Tottenham Hotspur,1,9.0,16.0
Tottenham Hotspur,1,6.0,6.0
Tottenham Hotspur,4,11.0,3.0
Tottenham Hotspur,1,9.0,9.0
Tottenham Hotspur,0,10.0,16.0
Tottenham Hotspur,1,15.0,13.0
Tottenham Hotspur,1,10.0,8.0
Tottenham Hotspur,0,10.0,8.0
Tottenham Hotspur,1,7.0,9.0
Tottenham Hotspur,2,9.0,6.0
Tottenham Hotspur,3,6.0,6.0
Tottenham Hotspur,4,10.0,2.0
Tottenham Hotspur,1,9.0,5.0
Tottenham Hotspur,2,8.0,5.0
Tottenham Hotspur,1,11.0,6.0
Tottenham Hotspur,2,8.0,4.0
Tottenham Hotspur,3,12.0,6.0
Tottenham Hotspur,1,1.0,6.0
Tottenham Hotspur,1,2.0,6.0
Tottenham Hotspur,1,13.0,5.0
Tottenham Hotspur,0,10.0,4.0
Tottenham Hotspur,0,6.0,7.0
Tottenham Hotspur,4,10.0,4.0
Tottenham Hotspur,3,7.0,8.0
Tottenham Hotspur,3,10.0,5.0
Tottenham Hotspur,2,10.0,0.0
