team,score,attempts_ibox,attempts_obox
Burnley,1,12.0,2.0
Burnley,0,2.0,8.0
Burnley,2,11.0,3.0
Burnley,2,5.0,1.0
Burnley,1,9.0,4.0
Burnley,1,13.0,5.0
Burnley,2,8.0,2.0
Burnley,1,14.0,1.0
Burnley,2,5.0,6.0
Burnley,2,14.0,3.0
Burnley,1,7.0,4.0
Burnley,1,10.0,4.0
Burnley,1,5.0,5.0
Burnley,1,9.0,5.0
Burnley,0,4.0,3.0
Burnley,1,4.0,2.0
Burnley,4,10.0,2.0
Burnley,0,5.0,4.0
Burnley,1,5.0,3.0
Burnley,0,3.0,2.0
Burnley,2,4.0,2.0
Burnley,3,7.0,3.0
Burnley,2,1.0,2.0
Burnley,0,11.0,1.0
Burnley,3,6.0,3.0
Burnley,2,3.0,3.0
Burnley,0,9.0,3.0
Burnley,2,11.0,5.0
Burnley,1,5.0,2.0
Burnley,0,3.0,1.0
Burnley,0,4.0,0.0
Burnley,0,3.0,3.0
Burnley,2,4.0,2.0
Burnley,0,4.0,1.0
Burnley,2,2.0,1.0
Burnley,0,2.0,5.0
Burnley,2,9.0,3.0
Burnley,0,10.0,6.0
