team,score,attempts_ibox,attempts_obox
Everton,2,10.0,10.0
Everton,4,10.0,5.0
Everton,1,15.0,8.0
Everton,2,12.0,3.0
Everton,0,6.0,1.0
Everton,0,1.0,3.0
Everton,1,9.0,4.0
Everton,2,10.0,5.0
Everton,0,14.0,3.0
Everton,2,6.0,4.0
Everton,2,10.0,2.0
Everton,1,12.0,7.0
Everton,1,12.0,4.0
Everton,3,11.0,3.0
Everton,2,10.0,10.0
Everton,3,13.0,6.0
Everton,1,8.0,8.0
Everton,1,8.0,3.0
Everton,2,9.0,4.0
Everton,2,14.0,2.0
Everton,0,16.0,6.0
Everton,0,7.0,2.0
Everton,2,0.0,3.0
Everton,2,7.0,0.0
Everton,3,8.0,4.0
Everton,0,8.0,1.0
Everton,1,6.0,4.0
Everton,1,5.0,2.0
Everton,0,9.0,4.0
Everton,5,8.0,5.0
Everton,1,6.0,3.0
Everton,0,5.0,4.0
Everton,0,2.0,4.0
Everton,1,9.0,5.0
Everton,2,9.0,8.0
Everton,0,5.0,5.0
Everton,2,5.0,6.0
Everton,2,7.0,1.0
