team,score,attempts_ibox,attempts_obox
Fulham,0,8.0,8.0
Fulham,1,2.0,6.0
Fulham,2,9.0,3.0
Fulham,0,3.0,2.0
Fulham,1,2.0,5.0
Fulham,1,5.0,7.0
Fulham,0,8.0,7.0
Fulham,4,16.0,8.0
Fulham,1,7.0,5.0
Fulham,1,12.0,2.0
Fulham,1,8.0,3.0
Fulham,0,7.0,9.0
Fulham,1,15.0,10.0
Fulham,3,8.0,2.0
Fulham,0,7.0,4.0
Fulham,1,7.0,14.0
Fulham,1,9.0,6.0
Fulham,4,8.0,17.0
Fulham,0,6.0,9.0
Fulham,0,3.0,3.0
Fulham,1,10.0,7.0
Fulham,1,15.0,2.0
Fulham,1,3.0,3.0
Fulham,0,7.0,7.0
Fulham,1,4.0,4.0
Fulham,0,4.0,4.0
Fulham,1,9.0,3.0
Fulham,1,5.0,0.0
Fulham,0,2.0,2.0
Fulham,1,5.0,5.0
Fulham,0,2.0,7.0
Fulham,0,3.0,5.0
Fulham,0,7.0,1.0
Fulham,2,3.0,6.0
Fulham,0,3.0,3.0
Fulham,0,2.0,7.0
Fulham,2,7.0,3.0
Fulham,1,5.0,5.0
