team,score,attempts_ibox,attempts_obox
Leicester City,0,3.0,6.0
Leicester City,3,15.0,9.0
Leicester City,0,9.0,3.0
Leicester City,2,10.0,8.0
Leicester City,3,9.0,9.0
Leicester City,2,13.0,6.0
Leicester City,1,10.0,17.0
Leicester City,0,11.0,6.0
Leicester City,1,9.0,14.0
Leicester City,0,6.0,10.0
Leicester City,2,8.0,2.0
Leicester City,0,3.0,8.0
Leicester City,2,4.0,3.0
Leicester City,0,13.0,9.0
Leicester City,1,13.0,8.0
Leicester City,1,5.0,3.0
Leicester City,3,11.0,7.0
Leicester City,1,3.0,9.0
Leicester City,2,1.0,5.0
Leicester City,0,3.0,4.0
Leicester City,2,8.0,3.0
Leicester City,4,10.0,8.0
Leicester City,2,5.0,4.0
Leicester City,1,5.0,9.0
Leicester City,1,17.0,3.0
Leicester City,1,5.0,0.0
Leicester City,3,11.0,5.0
Leicester City,1,4.0,4.0
Leicester City,1,3.0,5.0
Leicester City,0,8.0,4.0
Leicester City,1,11.0,2.0
Leicester City,1,6.0,2.0
Leicester City,1,10.0,3.0
Leicester City,1,5.0,3.0
Leicester City,2,9.0,3.0
Leicester City,2,11.0,3.0
Leicester City,2,5.0,3.0
Leicester City,1,5.0,8.0
