team,score,attempts_ibox,attempts_obox
Manchester City,1,7.0,12.0
Manchester City,1,10.0,5.0
Manchester City,2,15.0,12.0
Manchester City,3,14.0,5.0
Manchester City,1,15.0,5.0
Manchester City,6,10.0,5.0
Manchester City,3,12.0,7.0
Manchester City,3,13.0,11.0
Manchester City,2,6.0,3.0
Manchester City,2,11.0,8.0
Manchester City,3,9.0,4.0
Manchester City,3,12.0,4.0
Manchester City,3,8.0,9.0
Manchester City,6,13.0,5.0
Manchester City,5,18.0,6.0
Manchester City,2,19.0,9.0
Manchester City,3,18.0,10.0
Manchester City,2,16.0,8.0
Manchester City,6,20.0,12.0
Manchester City,4,9.0,11.0
Manchester City,1,17.0,0.0
Manchester City,2,5.0,3.0
Manchester City,3,11.0,9.0
Manchester City,2,14.0,10.0
Manchester City,1,0.0,0.0
Manchester City,2,13.0,2.0
Manchester City,1,8.0,4.0
Manchester City,3,10.0,2.0
Manchester City,3,12.0,2.0
Manchester City,1,6.0,5.0
Manchester City,0,10.0,4.0
Manchester City,2,12.0,3.0
Manchester City,4,9.0,0.0
Manchester City,1,10.0,3.0
Manchester City,0,5.0,1.0
Manchester City,5,18.0,3.0
Manchester City,1,9.0,9.0
Manchester City,2,8.0,9.0
