team,score,attempts_ibox,attempts_obox
Newcastle United,2,10.0,4.0
Newcastle United,3,9.0,6.0
Newcastle United,0,11.0,7.0
Newcastle United,3,12.0,7.0
Newcastle United,2,9.0,4.0
Newcastle United,2,23.0,6.0
Newcastle United,2,4.0,3.0
Newcastle United,3,12.0,4.0
Newcastle United,0,8.0,6.0
Newcastle United,0,5.0,4.0
Newcastle United,1,7.0,5.0
Newcastle United,0,7.0,9.0
Newcastle United,2,13.0,5.0
Newcastle United,1,4.0,6.0
Newcastle United,0,13.0,14.0
Newcastle United,0,4.0,2.0
Newcastle United,1,4.0,4.0
Newcastle United,1,2.0,4.0
Newcastle United,1,9.0,6.0
Newcastle United,4,8.0,5.0
Newcastle United,1,4.0,5.0
Newcastle United,1,8.0,3.0
Newcastle United,0,1.0,2.0
Newcastle United,2,4.0,8.0
Newcastle United,0,9.0,8.0
Newcastle United,1,6.0,3.0
Newcastle United,0,3.0,5.0
Newcastle United,1,7.0,2.0
Newcastle United,1,3.0,5.0
Newcastle United,0,4.0,2.0
Newcastle United,1,3.0,5.0
Newcastle United,1,7.0,1.0
Newcastle United,2,8.0,9.0
Newcastle United,0,3.0,3.0
Newcastle United,2,8.0,5.0
Newcastle United,0,4.0,2.0
Newcastle United,1,2.0,1.0
Newcastle United,0,10.0,2.0
