team,score,attempts_ibox,attempts_obox
Aston Villa,1,6.0,2.0
Aston Villa,2,6.0,6.0
Aston Villa,0,4.0,5.0
Aston Villa,0,9.0,2.0
Aston Villa,1,6.0,2.0
Aston Villa,0,12.0,2.0
Aston Villa,2,12.0,6.0
Aston Villa,2,13.0,3.0
Aston Villa,1,7.0,8.0
Aston Villa,1,8.0,3.0
Aston Villa,1,9.0,10.0
Aston Villa,1,11.0,4.0
Aston Villa,2,12.0,5.0
Aston Villa,1,3.0,1.0
Aston Villa,2,16.0,8.0
Aston Villa,2,6.0,10.0
Aston Villa,0,5.0,5.0
Aston Villa,2,3.0,4.0
Aston Villa,1,11.0,10.0
Aston Villa,1,9.0,4.0
Aston Villa,1,7.0,8.0
Aston Villa,0,6.0,3.0
Aston Villa,1,7.0,7.0
Aston Villa,0,2.0,2.0
Aston Villa,0,3.0,1.0
Aston Villa,1,15.0,3.0
Aston Villa,1,7.0,1.0
Aston Villa,2,9.0,2.0
Aston Villa,0,5.0,6.0
Aston Villa,0,5.0,0.0
Aston Villa,1,8.0,1.0
Aston Villa,2,7.0,2.0
Aston Villa,1,5.0,8.0
Aston Villa,0,8.0,3.0
Aston Villa,5,12.0,10.0
Aston Villa,2,8.0,6.0
Aston Villa,0,3.0,7.0
Aston Villa,1,4.0,3.0
