team,score,attempts_ibox,attempts_obox
Chelsea,2,8.0,3.0
Chelsea,1,18.0,4.0
Chelsea,3,12.0,9.0
Chelsea,2,14.0,1.0
Chelsea,4,9.0,8.0
Chelsea,2,8.0,9.0
Chelsea,0,11.0,6.0
Chelsea,2,15.0,4.0
Chelsea,3,13.0,5.0
Chelsea,0,6.0,4.0
Chelsea,0,15.0,3.0
Chelsea,2,16.0,9.0
Chelsea,0,14.0,5.0
Chelsea,2,11.0,12.0
Chelsea,1,15.0,1.0
Chelsea,2,16.0,8.0
Chelsea,1,7.0,6.0
Chelsea,2,8.0,5.0
Chelsea,1,9.0,5.0
Chelsea,3,9.0,1.0
Chelsea,0,10.0,0.0
Chelsea,3,11.0,3.0
Chelsea,2,11.0,6.0
Chelsea,2,8.0,11.0
Chelsea,2,14.0,0.0
Chelsea,2,6.0,1.0
Chelsea,0,8.0,11.0
Chelsea,1,12.0,4.0
Chelsea,2,10.0,3.0
Chelsea,2,8.0,5.0
Chelsea,1,11.0,4.0
Chelsea,1,8.0,3.0
Chelsea,2,11.0,5.0
Chelsea,4,9.0,7.0
Chelsea,4,7.0,6.0
Chelsea,5,14.0,1.0
Chelsea,3,12.0,11.0
Chelsea,0,9.0,9.0
