team,score,attempts_ibox,attempts_obox
Wolverhampton Wanderers,2,9.0,2.0
Wolverhampton Wanderers,3,10.0,4.0
Wolverhampton Wanderers,0,6.0,4.0
Wolverhampton Wanderers,1,5.0,5.0
Wolverhampton Wanderers,0,5.0,6.0
Wolverhampton Wanderers,3,13.0,6.0
Wolverhampton Wanderers,0,11.0,4.0
Wolverhampton Wanderers,1,8.0,2.0
Wolverhampton Wanderers,1,5.0,4.0
Wolverhampton Wanderers,3,11.0,10.0
Wolverhampton Wanderers,1,10.0,9.0
Wolverhampton Wanderers,2,12.0,1.0
Wolverhampton Wanderers,1,8.0,5.0
Wolverhampton Wanderers,2,12.0,5.0
Wolverhampton Wanderers,1,2.0,2.0
Wolverhampton Wanderers,2,6.0,4.0
Wolverhampton Wanderers,2,8.0,3.0
Wolverhampton Wanderers,1,9.0,8.0
Wolverhampton Wanderers,1,5.0,1.0
Wolverhampton Wanderers,0,1.0,4.0
Wolverhampton Wanderers,1,10.0,4.0
Wolverhampton Wanderers,0,2.0,4.0
Wolverhampton Wanderers,1,7.0,2.0
Wolverhampton Wanderers,2,6.0,4.0
Wolverhampton Wanderers,3,11.0,3.0
Wolverhampton Wanderers,0,13.0,2.0
Wolverhampton Wanderers,3,6.0,2.0
Wolverhampton Wanderers,1,8.0,8.0
Wolverhampton Wanderers,0,4.0,6.0
Wolverhampton Wanderers,2,12.0,2.0
Wolverhampton Wanderers,2,11.0,2.0
Wolverhampton Wanderers,2,7.0,11.0
Wolverhampton Wanderers,1,15.0,9.0
Wolverhampton Wanderers,1,9.0,4.0
Wolverhampton Wanderers,2,4.0,3.0
Wolverhampton Wanderers,1,7.0,6.0
Wolverhampton Wanderers,2,6.0,2.0
Wolverhampton Wanderers,0,5.0,3.0
