team,score,attempts_ibox,attempts_obox
Brighton and Hove Albion,3,10.0,9.0
Brighton and Hove Albion,1,2.0,8.0
Brighton and Hove Albion,2,12.0,5.0
Brighton and Hove Albion,0,15.0,8.0
Brighton and Hove Albion,3,8.0,3.0
Brighton and Hove Albion,1,6.0,1.0
Brighton and Hove Albion,1,20.0,5.0
Brighton and Hove Albion,0,15.0,11.0
Brighton and Hove Albion,1,11.0,5.0
Brighton and Hove Albion,0,12.0,4.0
Brighton and Hove Albion,3,10.0,3.0
Brighton and Hove Albion,0,9.0,4.0
Brighton and Hove Albion,1,16.0,5.0
Brighton and Hove Albion,1,11.0,1.0
Brighton and Hove Albion,1,7.0,4.0
Brighton and Hove Albion,0,12.0,7.0
Brighton and Hove Albion,1,3.0,2.0
Brighton and Hove Albion,2,12.0,6.0
Brighton and Hove Albion,1,7.0,6.0
Brighton and Hove Albion,0,2.0,3.0
Brighton and Hove Albion,1,5.0,0.0
Brighton and Hove Albion,0,12.0,5.0
Brighton and Hove Albion,0,5.0,6.0
Brighton and Hove Albion,1,5.0,0.0
Brighton and Hove Albion,2,5.0,3.0
Brighton and Hove Albion,0,10.0,5.0
Brighton and Hove Albion,1,5.0,5.0
Brighton and Hove Albion,1,12.0,1.0
Brighton and Hove Albion,1,5.0,2.0
Brighton and Hove Albion,0,2.0,3.0
Brighton and Hove Albion,2,8.0,5.0
Brighton and Hove Albion,0,5.0,4.0
Brighton and Hove Albion,0,6.0,6.0
Brighton and Hove Albion,2,6.0,1.0
Brighton and Hove Albion,1,5.0,1.0
Brighton and Hove Albion,1,12.0,0.0
Brighton and Hove Albion,2,6.0,5.0
Brighton and Hove Albion,3,6.0,7.0
