team,score,attempts_ibox,attempts_obox
Crystal Palace,1,9.0,3.0
Crystal Palace,3,15.0,8.0
Crystal Palace,0,3.0,6.0
Crystal Palace,1,1.0,4.0
Crystal Palace,1,3.0,3.0
Crystal Palace,0,5.0,3.0
Crystal Palace,0,2.0,1.0
Crystal Palace,0,8.0,5.0
Crystal Palace,1,5.0,6.0
Crystal Palace,2,2.0,4.0
Crystal Palace,2,6.0,3.0
Crystal Palace,1,4.0,8.0
Crystal Palace,0,4.0,1.0
Crystal Palace,1,11.0,5.0
Crystal Palace,0,8.0,4.0
Crystal Palace,4,7.0,3.0
Crystal Palace,1,1.0,8.0
Crystal Palace,1,5.0,3.0
Crystal Palace,1,5.0,2.0
Crystal Palace,0,2.0,3.0
Crystal Palace,1,7.0,4.0
Crystal Palace,2,16.0,5.0
Crystal Palace,1,3.0,1.0
Crystal Palace,1,8.0,5.0
Crystal Palace,1,3.0,2.0
Crystal Palace,2,2.0,1.0
Crystal Palace,0,5.0,3.0
Crystal Palace,2,3.0,3.0
Crystal Palace,0,1.0,1.0
Crystal Palace,0,8.0,4.0
Crystal Palace,0,6.0,7.0
Crystal Palace,1,7.0,1.0
Crystal Palace,5,14.0,4.0
Crystal Palace,0,7.0,8.0
Crystal Palace,0,6.0,5.0
Crystal Palace,2,11.0,3.0
Crystal Palace,0,2.0,2.0
Crystal Palace,3,9.0,5.0
