team,score,attempts_ibox,attempts_obox
Leeds United,3,9.0,8.0
Leeds United,3,12.0,4.0
Leeds United,0,3.0,3.0
Leeds United,1,12.0,5.0
Leeds United,2,13.0,10.0
Leeds United,0,4.0,3.0
Leeds United,0,7.0,6.0
Leeds United,3,9.0,2.0
Leeds United,2,14.0,3.0
Leeds United,1,12.0,4.0
Leeds United,0,4.0,3.0
Leeds United,1,6.0,5.0
Leeds United,5,17.0,8.0
Leeds United,1,10.0,3.0
Leeds United,0,15.0,10.0
Leeds United,1,6.0,5.0
Leeds United,0,13.0,3.0
Leeds United,1,11.0,1.0
Leeds United,4,8.0,2.0
Leeds United,2,7.0,8.0
Leeds United,4,9.0,7.0
Leeds United,0,6.0,5.0
Leeds United,2,0.0,2.0
Leeds United,2,8.0,5.0
Leeds United,0,11.0,6.0
Leeds United,0,15.0,3.0
Leeds United,2,5.0,4.0
Leeds United,3,7.0,1.0
Leeds United,2,8.0,1.0
Leeds United,0,10.0,8.0
Leeds United,5,8.0,6.0
Leeds United,2,14.0,3.0
Leeds United,1,5.0,3.0
Leeds United,1,17.0,6.0
Leeds United,1,5.0,4.0
Leeds United,3,20.0,7.0
Leeds United,1,9.0,8.0
Leeds United,3,4.0,2.0
