team,score,attempts_ibox,attempts_obox
Liverpool,2,16.0,3.0
Liverpool,2,12.0,2.0
Liverpool,1,13.0,9.0
Liverpool,2,17.0,6.0
Liverpool,0,10.0,6.0
Liverpool,0,4.0,3.0
Liverpool,0,8.0,7.0
Liverpool,1,5.0,3.0
Liverpool,0,5.0,6.0
Liverpool,0,16.0,11.0
Liverpool,0,9.0,8.0
Liverpool,1,8.0,9.0
Liverpool,2,15.0,2.0
Liverpool,4,7.0,4.0
Liverpool,3,19.0,5.0
Liverpool,2,6.0,3.0
Liverpool,2,10.0,7.0
Liverpool,3,12.0,9.0
Liverpool,4,17.0,5.0
Liverpool,3,15.0,5.0
Liverpool,2,14.0,12.0
Liverpool,4,14.0,3.0
Liverpool,1,12.0,0.0
Liverpool,3,9.0,7.0
Liverpool,1,9.0,3.0
Liverpool,2,13.0,3.0
Liverpool,1,11.0,4.0
Liverpool,3,10.0,4.0
Liverpool,3,11.0,3.0
Liverpool,0,12.0,5.0
Liverpool,0,6.0,5.0
Liverpool,7,11.0,3.0
Liverpool,1,7.0,5.0
Liverpool,1,3.0,3.0
Liverpool,1,5.0,5.0
Liverpool,2,15.0,7.0
Liverpool,2,10.0,4.0
Liverpool,2,10.0,8.0
