team,score,attempts_ibox,attempts_obox
Sheffield United,1,8.0,4.0
Sheffield United,0,6.0,1.0
Sheffield United,1,5.0,2.0
Sheffield United,0,5.0,2.0
Sheffield United,0,4.0,4.0
Sheffield United,1,6.0,3.0
Sheffield United,0,5.0,3.0
Sheffield United,1,5.0,3.0
Sheffield United,2,9.0,5.0
Sheffield United,1,7.0,8.0
Sheffield United,1,13.0,4.0
Sheffield United,0,9.0,1.0
Sheffield United,2,9.0,3.0
Sheffield United,1,3.0,1.0
Sheffield United,0,6.0,3.0
Sheffield United,0,2.0,1.0
Sheffield United,1,6.0,4.0
Sheffield United,0,9.0,5.0
Sheffield United,0,8.0,1.0
Sheffield United,0,6.0,5.0
Sheffield United,1,5.0,5.0
Sheffield United,0,5.0,3.0
Sheffield United,0,5.0,3.0
Sheffield United,1,3.0,6.0
Sheffield United,0,1.0,0.0
Sheffield United,0,4.0,0.0
Sheffield United,0,5.0,3.0
Sheffield United,0,0.0,4.0
Sheffield United,2,5.0,0.0
Sheffield United,0,4.0,3.0
Sheffield United,0,4.0,3.0
Sheffield United,1,3.0,2.0
Sheffield United,0,3.0,0.0
Sheffield United,0,18.0,3.0
Sheffield United,1,4.0,2.0
Sheffield United,1,9.0,4.0
Sheffield United,1,1.0,5.0
Sheffield United,0,3.0,1.0
