team,score,attempts_ibox,attempts_obox
West Ham United,3,11.0,3.0
West Ham United,0,8.0,3.0
West Ham United,0,3.0,6.0
West Ham United,3,4.0,5.0
West Ham United,3,15.0,7.0
West Ham United,2,8.0,8.0
West Ham United,2,4.0,12.0
West Ham United,3,9.0,4.0
West Ham United,1,6.0,2.0
West Ham United,2,8.0,6.0
West Ham United,1,12.0,3.0
West Ham United,2,8.0,3.0
West Ham United,1,5.0,4.0
West Ham United,1,14.0,5.0
West Ham United,2,4.0,2.0
West Ham United,1,10.0,6.0
West Ham United,1,2.0,4.0
West Ham United,4,13.0,2.0
West Ham United,0,10.0,5.0
West Ham United,3,16.0,5.0
West Ham United,1,7.0,8.0
West Ham United,2,13.0,9.0
West Ham United,2,8.0,8.0
West Ham United,3,8.0,1.0
West Ham United,0,6.0,1.0
West Ham United,1,6.0,3.0
West Ham United,0,7.0,1.0
West Ham United,3,11.0,9.0
West Ham United,3,10.0,7.0
West Ham United,1,7.0,4.0
West Ham United,0,6.0,2.0
West Ham United,0,6.0,0.0
West Ham United,2,12.0,7.0
West Ham United,1,13.0,2.0
West Ham United,1,4.0,0.0
West Ham United,3,10.0,3.0
West Ham United,3,12.0,2.0
West Ham United,1,7.0,7.0
