team,formation_used,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
West Bromwich Albion,4411.0,558.0,357.0,31.0,41.0,61.0,262.0,147.0,8.0,6.0,2.0,10.0,16.0,12.0,119.0,8.0
West Bromwich Albion,4411.0,399.0,200.0,31.0,24.0,53.0,163.0,78.0,2.0,7.0,3.0,16.0,11.0,17.0,59.0,7.0
West Bromwich Albion,3511.0,547.0,339.0,37.0,28.0,67.0,216.0,116.0,4.0,6.0,1.0,21.0,12.0,10.0,143.0,17.0
West Bromwich Albion,4411.0,491.0,285.0,28.0,24.0,40.0,217.0,109.0,2.0,13.0,4.0,15.0,11.0,17.0,85.0,12.0
West Bromwich Albion,4141.0,619.0,396.0,22.0,54.0,62.0,302.0,192.0,5.0,8.0,1.0,11.0,18.0,11.0,130.0,11.0
West Bromwich Albion,4141.0,670.0,450.0,35.0,34.0,71.0,267.0,151.0,4.0,7.0,3.0,9.0,19.0,15.0,208.0,9.0
West Bromwich Albion,4141.0,424.0,230.0,17.0,26.0,55.0,156.0,89.0,2.0,4.0,1.0,13.0,16.0,14.0,86.0,11.0
West Bromwich Albion,4141.0,432.0,253.0,22.0,22.0,46.0,164.0,74.0,1.0,6.0,2.0,14.0,23.0,12.0,104.0,13.0
West Bromwich Albion,352.0,504.0,336.0,26.0,28.0,81.0,218.0,124.0,1.0,4.0,1.0,13.0,15.0,14.0,135.0,9.0
West Bromwich Albion,4411.0,391.0,247.0,19.0,16.0,37.0,132.0,70.0,6.0,4.0,1.0,13.0,6.0,14.0,125.0,8.0
West Bromwich Albion,4411.0,570.0,374.0,31.0,28.0,67.0,276.0,137.0,3.0,4.0,3.0,13.0,19.0,20.0,119.0,7.0
West Bromwich Albion,4141.0,402.0,238.0,18.0,27.0,53.0,149.0,88.0,2.0,2.0,1.0,10.0,12.0,11.0,106.0,7.0
West Bromwich Albion,4141.0,442.0,282.0,24.0,11.0,64.0,166.0,81.0,1.0,11.0,1.0,15.0,14.0,16.0,126.0,14.0
West Bromwich Albion,3412.0,663.0,495.0,49.0,22.0,31.0,264.0,95.0,2.0,7.0,2.0,15.0,19.0,4.0,245.0,10.0
West Bromwich Albion,3412.0,554.0,380.0,38.0,27.0,50.0,240.0,101.0,8.0,9.0,2.0,12.0,10.0,8.0,165.0,10.0
West Bromwich Albion,532.0,546.0,340.0,28.0,38.0,50.0,253.0,120.0,5.0,7.0,1.0,19.0,16.0,11.0,117.0,17.0
West Bromwich Albion,4141.0,674.0,477.0,41.0,26.0,68.0,274.0,131.0,5.0,8.0,2.0,14.0,19.0,6.0,224.0,15.0
West Bromwich Albion,541.0,456.0,249.0,16.0,15.0,39.0,154.0,77.0,4.0,5.0,1.0,9.0,19.0,13.0,109.0,8.0
West Bromwich Albion,541.0,487.0,336.0,35.0,12.0,52.0,184.0,95.0,4.0,3.0,4.0,7.0,12.0,10.0,161.0,12.0
West Bromwich Albion,532.0,465.0,268.0,30.0,21.0,44.0,177.0,92.0,7.0,7.0,3.0,19.0,11.0,8.0,102.0,12.0
West Bromwich Albion,4411.0,455.0,288.0,23.0,35.0,56.0,182.0,101.0,6.0,6.0,2.0,14.0,6.0,13.0,129.0,9.0
West Bromwich Albion,4141.0,424.0,240.0,19.0,26.0,50.0,159.0,82.0,6.0,4.0,1.0,10.0,6.0,8.0,94.0,9.0
West Bromwich Albion,4411.0,419.0,255.0,19.0,13.0,39.0,145.0,70.0,2.0,2.0,0.0,10.0,15.0,10.0,120.0,12.0
West Bromwich Albion,541.0,505.0,297.0,28.0,18.0,49.0,161.0,71.0,7.0,7.0,4.0,19.0,16.0,15.0,144.0,6.0
West Bromwich Albion,4141.0,614.0,397.0,33.0,44.0,70.0,273.0,127.0,4.0,8.0,1.0,19.0,20.0,8.0,145.0,15.0
West Bromwich Albion,4141.0,436.0,267.0,24.0,20.0,49.0,176.0,88.0,7.0,3.0,3.0,16.0,13.0,10.0,103.0,10.0
