team,formation_used,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost,formation_used_av_diff,touches_av_diff,total_pass_av_diff,long_pass_own_to_opp_success_av_diff,pen_area_entries_av_diff,final_third_entries_av_diff,total_fwd_zone_pass_av_diff,total_final_third_passes_av_diff,attempts_obox_av_diff,attempts_ibox_av_diff,total_offside_av_diff,total_tackle_av_diff,blocked_pass_av_diff,interception_av_diff,total_back_zone_pass_av_diff,fk_foul_lost_av_diff
Arsenal,3846.842105263158,677.7105263157895,508.4736842105263,36.89473684210526,28.36842105263158,56.026315789473685,287.57894736842104,137.92105263157896,4.421052631578948,7.605263157894737,1.605263157894737,12.921052631578947,15.0,9.5,240.47368421052633,10.473684210526315,56.334220275322735,2.929039194409332,7.593403625611502,-0.7011828033146909,2.1607278241091525,4.005862237420611,6.506568944680508,6.122118392678166,0.9009009009009266,-1.4324693042292194,-6.441717791411025,-16.7655534836413,-8.027430415490107,-7.837630839928512,8.967976198284036,-3.8995533019437465
Aston Villa,3096.5263157894738,605.6842105263158,417.5,34.578947368421055,31.526315789473685,53.21052631578947,253.1315789473684,131.81578947368422,5.131578947368421,9.526315789473685,1.4473684210526316,15.210526315789474,14.578947368421053,9.131578947368421,185.60526315789474,14.0,25.841668021320807,-8.010143824077765,-11.656694518148921,-6.93391883277852,13.532979529946909,-1.2212994626282447,-6.2512182760906105,1.424478349346484,17.11711711711714,23.46521145975441,-15.64417177914109,-2.017291066282416,-10.60911657926582,-11.41179474087311,-15.895038725487275,28.455873475793798
Fulham,2368.7105263157896,687.4736842105264,489.10526315789474,39.05263157894737,30.0,57.13157894736842,276.10526315789474,132.31578947368422,4.5,7.631578947368421,1.6842105263157894,15.842105263157896,16.42105263157895,11.552631578947368,233.71052631578948,11.368421052631579,-3.736492672033964,4.4118440536927555,3.495031559135464,5.106593951412993,8.03639120545866,6.05764533463604,2.257221940665076,1.8091988701365784,2.702702702702719,-1.0914051841746508,-1.8404907975460052,2.051195117816585,0.6857603872529441,12.075568036762832,5.903326397128528,4.310032596885185
Leeds United,3102.684210526316,635.0526315789474,433.7105263157895,33.21052631578947,28.605263157894736,52.473684210526315,241.21052631578948,124.07894736842105,5.184210526315789,8.236842105263158,1.8421052631578947,17.210526315789473,16.44736842105263,10.631578947368421,210.05263157894737,11.368421052631579,26.091922553708446,-3.549738910438159,-8.226535288598322,-10.616899213825345,3.013646702046983,-2.5891548607718686,-10.666250828427746,-4.528565498668667,18.318318318318337,6.753069577080456,7.361963190184059,10.866248516697738,0.8471157724889091,3.140158284401334,-4.816985553216992,4.310032596885185
Leicester City,2953.4736842105262,661.9473684210526,472.60526315789474,34.44736842105263,25.57894736842105,52.94736842105263,262.55263157894734,124.02631578947368,3.8947368421052633,6.894736842105263,1.6842105263157894,16.63157894736842,17.68421052631579,11.81578947368421,227.18421052631578,10.578947368421053,20.028062730469422,0.5349688151350209,0.003619486200032306,-7.288051561725339,-7.8847611827142,-1.70981924767954,-2.762075552610051,-4.569062395593941,-11.111111111111093,-10.641200545702622,-1.8404907975460052,7.136802847940331,8.430818878580096,14.628542251723264,2.9459989625504477,-2.933719666787391
Liverpool,1118.421052631579,694.921052631579,507.8421052631579,39.526315789473685,29.42105263157895,53.3421052631579,283.0,135.3684210526316,4.105263157894737,8.368421052631579,1.9210526315789473,16.394736842105264,16.394736842105264,10.368421052631579,243.1315789473684,10.263157894736842,-54.547787921047906,5.542932396488458,7.459761058226421,6.381471775621504,5.951478392721743,-0.9770395701025905,4.81072862656426,4.15801889180242,-6.306306306306284,8.458390177353309,11.963190184049093,5.611120528903208,0.5244050020169573,0.5871840694409016,10.17237164543074,-5.831220572256425
Manchester City,3230.5789473684213,661.2631578947369,494.0,35.3421052631579,21.86842105263158,47.44736842105263,274.10526315789474,127.94736842105263,3.8684210526315788,7.315789473684211,1.763157894736842,15.342105263157896,13.947368421052632,9.394736842105264,232.26315789473685,9.578947368421053,31.289516687913327,0.4310525716272982,4.530761456369898,-4.879949004887025,-21.24715693707356,-11.919882755251596,1.5165100775798162,-1.5520435746610968,-11.711711711711702,-5.184174624829494,2.7607361963190273,-1.169689777928457,-14.481645824929396,-8.858820525912678,5.247467490266456,-12.109139200772661
Sheffield United,1639.9473684210527,664.3421052631579,481.7894736842105,39.1578947368421,30.657894736842106,57.60526315789474,288.2105263157895,143.94736842105263,3.789473684210526,7.7105263157894735,1.6842105263157894,15.921052631578947,15.894736842105264,8.31578947368421,212.97368421052633,10.342105263157896,-33.353154062679145,0.8986756674120938,1.9470051535915227,5.389900134570429,10.405610310841528,6.936980947728381,6.74047795407586,10.759013090621925,-13.513513513513503,-0.06821282401094589,-1.8404907975460052,2.559755890828951,-2.541347317466706,-19.32601480725044,-3.493343032095348,-5.1068453458891625
West Ham United,2625.2105263157896,647.1578947368421,466.2105263157895,37.6578947368421,28.210526315789473,57.31578947368421,286.10526315789474,135.1578947368421,4.552631578947368,8.026315789473685,1.7105263157894737,13.868421052631579,16.526315789473685,9.947368421052632,200.10526315789474,9.5,6.6875711193435885,-1.7112207560705868,-1.3495115085739862,1.3527870245768039,1.5921152388172617,6.399609184171956,5.960781256091375,3.9960313041013227,3.9039039039039145,4.024556616643909,-0.3067484662576567,-10.662824207492797,1.3311819281968698,-3.4975746744957807,-9.324524949469055,-12.833514427139924
Wolverhampton Wanderers,2195.342105263158,650.1315789473684,465.7894736842105,41.71052631578947,25.57894736842105,49.921052631578945,261.63157894736844,117.6842105263158,4.526315789473684,7.526315789473684,1.3157894736842106,15.657894736842104,14.605263157894736,10.368421052631579,223.1578947368421,10.31578947368421,-10.782120276178354,-1.259584774671588,-1.4386065534973809,12.260075076138534,-7.8847611827142,-7.3277967757694285,-3.103192857978246,-9.448938475089346,3.303303303303317,-2.455661664392936,-23.31288343558281,0.8645533141210323,-10.447761194029843,0.5871840694409016,1.1215187307341419,-5.3483037546782555
