team1,formation_used1,touches1,total_pass1,long_pass_own_to_opp_success1,pen_area_entries1,final_third_entries1,total_fwd_zone_pass1,total_final_third_passes1,attempts_obox1,attempts_ibox1,fouled_final_third1,total_offside1,total_tackle1,blocked_pass1,interception1,total_back_zone_pass1,fk_foul_lost1
Arsenal,4231.0,727.0,565.0,29.0,43.0,52.0,308.0,179.0,9.0,7.0,2.0,2.0,14.0,20.0,5.0,278.0,10.0
Arsenal,4231.0,747.0,576.0,39.0,26.0,52.0,328.0,139.0,8.0,7.0,2.0,1.0,11.0,6.0,12.0,264.0,7.0
Arsenal,4231.0,804.0,627.0,57.0,35.0,80.0,377.0,195.0,5.0,9.0,1.0,2.0,10.0,12.0,9.0,277.0,13.0
Arsenal,4231.0,804.0,633.0,46.0,32.0,70.0,429.0,203.0,6.0,12.0,2.0,5.0,18.0,11.0,8.0,234.0,9.0
Arsenal,4231.0,556.0,395.0,24.0,6.0,45.0,182.0,83.0,1.0,2.0,3.0,3.0,21.0,12.0,7.0,220.0,10.0
Arsenal,4231.0,697.0,519.0,44.0,35.0,60.0,317.0,172.0,7.0,6.0,4.0,1.0,20.0,23.0,11.0,228.0,12.0
Arsenal,4231.0,608.0,479.0,32.0,22.0,39.0,203.0,97.0,2.0,5.0,3.0,1.0,8.0,9.0,6.0,290.0,11.0
Arsenal,4231.0,596.0,423.0,27.0,21.0,45.0,224.0,95.0,5.0,8.0,3.0,2.0,5.0,17.0,16.0,208.0,8.0
Arsenal,4231.0,606.0,436.0,24.0,21.0,50.0,231.0,121.0,9.0,8.0,6.0,2.0,13.0,19.0,13.0,217.0,9.0
Arsenal,4231.0,798.0,634.0,44.0,32.0,84.0,358.0,182.0,6.0,14.0,4.0,4.0,7.0,14.0,9.0,302.0,9.0
Arsenal,4231.0,875.0,692.0,46.0,34.0,82.0,411.0,211.0,6.0,5.0,3.0,1.0,17.0,18.0,10.0,306.0,11.0
Arsenal,4231.0,505.0,328.0,21.0,18.0,46.0,184.0,108.0,3.0,12.0,4.0,1.0,16.0,15.0,7.0,160.0,13.0
Arsenal,343.0,517.0,340.0,33.0,16.0,57.0,176.0,93.0,4.0,5.0,2.0,1.0,8.0,17.0,17.0,175.0,13.0
Arsenal,4231.0,757.0,557.0,34.0,48.0,73.0,314.0,181.0,6.0,12.0,1.0,3.0,12.0,14.0,8.0,281.0,5.0
Arsenal,4231.0,683.0,494.0,37.0,49.0,75.0,339.0,186.0,3.0,10.0,4.0,2.0,13.0,18.0,9.0,190.0,13.0
Arsenal,343.0,712.0,538.0,28.0,32.0,43.0,251.0,129.0,5.0,8.0,5.0,1.0,7.0,11.0,8.0,312.0,11.0
Arsenal,343.0,745.0,575.0,48.0,31.0,70.0,350.0,141.0,3.0,9.0,2.0,1.0,15.0,21.0,12.0,245.0,13.0
Arsenal,433.0,860.0,699.0,53.0,28.0,55.0,360.0,148.0,1.0,5.0,2.0,3.0,8.0,22.0,10.0,357.0,3.0
Arsenal,343.0,844.0,669.0,56.0,33.0,53.0,346.0,148.0,2.0,5.0,3.0,5.0,8.0,21.0,11.0,340.0,11.0
