team,formation_used,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Brighton and Hove Albion,352.0,782.0,607.0,51.0,34.0,61.0,321.0,164.0,9.0,10.0,3.0,18.0,10.0,7.0,300.0,13.0
Brighton and Hove Albion,343.0,732.0,595.0,32.0,25.0,58.0,290.0,150.0,8.0,2.0,2.0,9.0,15.0,12.0,313.0,7.0
Brighton and Hove Albion,3412.0,535.0,351.0,37.0,24.0,54.0,212.0,101.0,5.0,12.0,1.0,11.0,15.0,11.0,150.0,17.0
Brighton and Hove Albion,3421.0,676.0,503.0,37.0,39.0,58.0,258.0,153.0,8.0,15.0,1.0,18.0,20.0,11.0,261.0,12.0
Brighton and Hove Albion,3412.0,867.0,728.0,46.0,29.0,65.0,301.0,158.0,3.0,8.0,2.0,16.0,13.0,10.0,437.0,12.0
Brighton and Hove Albion,442.0,549.0,340.0,31.0,27.0,50.0,201.0,114.0,1.0,6.0,4.0,30.0,23.0,9.0,155.0,14.0
Brighton and Hove Albion,442.0,912.0,715.0,65.0,60.0,85.0,486.0,232.0,5.0,20.0,3.0,11.0,16.0,7.0,264.0,11.0
Brighton and Hove Albion,4231.0,555.0,372.0,35.0,18.0,56.0,209.0,104.0,3.0,1.0,3.0,10.0,17.0,12.0,172.0,12.0
Brighton and Hove Albion,3421.0,619.0,407.0,26.0,47.0,49.0,273.0,155.0,5.0,11.0,1.0,19.0,16.0,21.0,160.0,11.0
Brighton and Hove Albion,343.0,646.0,439.0,38.0,12.0,36.0,217.0,90.0,2.0,8.0,3.0,12.0,29.0,16.0,233.0,14.0
Brighton and Hove Albion,3421.0,720.0,548.0,40.0,35.0,69.0,285.0,136.0,3.0,10.0,1.0,21.0,16.0,15.0,282.0,13.0
Brighton and Hove Albion,4231.0,679.0,511.0,43.0,23.0,50.0,232.0,94.0,2.0,9.0,0.0,10.0,17.0,10.0,292.0,4.0
Brighton and Hove Albion,532.0,367.0,203.0,16.0,12.0,46.0,134.0,83.0,2.0,3.0,2.0,12.0,8.0,7.0,78.0,11.0
Brighton and Hove Albion,3412.0,585.0,377.0,26.0,21.0,41.0,203.0,94.0,1.0,11.0,2.0,21.0,18.0,10.0,191.0,12.0
