team,formation_used,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Burnley,433.0,777.0,584.0,41.0,26.0,59.0,338.0,186.0,5.0,15.0,1.0,15.0,11.0,6.0,262.0,7.0
Burnley,3331.0,611.0,440.0,25.0,33.0,41.0,204.0,103.0,7.0,9.0,6.0,11.0,6.0,8.0,257.0,10.0
Burnley,4231.0,734.0,544.0,32.0,36.0,44.0,325.0,172.0,9.0,13.0,2.0,10.0,14.0,11.0,243.0,8.0
Burnley,532.0,553.0,342.0,26.0,19.0,50.0,198.0,77.0,7.0,10.0,2.0,10.0,15.0,9.0,162.0,12.0
Burnley,4231.0,770.0,595.0,35.0,29.0,49.0,299.0,157.0,4.0,11.0,2.0,12.0,19.0,5.0,312.0,12.0
Burnley,3142.0,746.0,571.0,36.0,27.0,40.0,261.0,114.0,8.0,8.0,2.0,9.0,15.0,7.0,329.0,12.0
Burnley,4141.0,436.0,267.0,24.0,20.0,49.0,176.0,88.0,7.0,3.0,3.0,16.0,13.0,10.0,103.0,10.0
Burnley,4411.0,647.0,477.0,29.0,15.0,39.0,210.0,79.0,3.0,5.0,6.0,14.0,23.0,8.0,281.0,13.0
Burnley,3412.0,537.0,379.0,35.0,25.0,47.0,210.0,87.0,5.0,5.0,3.0,7.0,12.0,10.0,183.0,10.0
Burnley,433.0,943.0,804.0,43.0,30.0,54.0,490.0,247.0,5.0,8.0,2.0,8.0,15.0,6.0,324.0,5.0
Burnley,4231.0,662.0,475.0,34.0,31.0,75.0,272.0,155.0,4.0,14.0,2.0,6.0,11.0,7.0,225.0,7.0
Burnley,442.0,506.0,334.0,32.0,29.0,56.0,201.0,106.0,5.0,6.0,3.0,5.0,16.0,11.0,147.0,15.0
Burnley,343.0,716.0,551.0,37.0,29.0,91.0,384.0,205.0,3.0,4.0,2.0,13.0,13.0,8.0,190.0,17.0
Burnley,3412.0,646.0,463.0,42.0,28.0,44.0,264.0,118.0,6.0,9.0,2.0,11.0,6.0,15.0,221.0,15.0
Burnley,343.0,767.0,581.0,45.0,29.0,40.0,277.0,126.0,5.0,8.0,3.0,19.0,16.0,12.0,322.0,9.0
Burnley,442.0,665.0,459.0,38.0,31.0,32.0,278.0,122.0,8.0,7.0,2.0,12.0,10.0,4.0,205.0,9.0
Burnley,433.0,856.0,693.0,53.0,33.0,42.0,344.0,156.0,7.0,7.0,4.0,13.0,13.0,6.0,365.0,15.0
Burnley,4231.0,764.0,595.0,47.0,34.0,64.0,335.0,134.0,1.0,8.0,2.0,11.0,11.0,12.0,278.0,7.0
Burnley,442.0,679.0,480.0,43.0,16.0,48.0,274.0,90.0,2.0,3.0,1.0,12.0,20.0,9.0,212.0,10.0
Burnley,4411.0,664.0,482.0,48.0,53.0,88.0,316.0,176.0,3.0,7.0,1.0,16.0,13.0,8.0,192.0,1.0
Burnley,442.0,462.0,253.0,21.0,26.0,72.0,181.0,109.0,4.0,10.0,1.0,17.0,14.0,11.0,81.0,10.0
Burnley,442.0,519.0,325.0,23.0,31.0,68.0,243.0,131.0,6.0,8.0,2.0,15.0,18.0,12.0,103.0,9.0
Burnley,4231.0,796.0,610.0,42.0,31.0,63.0,383.0,229.0,2.0,15.0,2.0,13.0,10.0,4.0,247.0,9.0
Burnley,442.0,558.0,352.0,25.0,48.0,64.0,259.0,136.0,2.0,5.0,0.0,18.0,11.0,10.0,126.0,10.0
Burnley,442.0,480.0,291.0,30.0,32.0,62.0,208.0,111.0,7.0,7.0,1.0,6.0,11.0,13.0,96.0,6.0
Burnley,442.0,593.0,439.0,32.0,36.0,63.0,284.0,140.0,4.0,6.0,0.0,11.0,19.0,12.0,176.0,10.0
Burnley,442.0,577.0,390.0,42.0,23.0,70.0,256.0,140.0,8.0,8.0,1.0,17.0,11.0,12.0,148.0,14.0
Burnley,442.0,445.0,287.0,31.0,24.0,52.0,192.0,85.0,0.0,1.0,2.0,15.0,17.0,10.0,106.0,9.0
Burnley,442.0,452.0,274.0,34.0,22.0,58.0,175.0,82.0,1.0,5.0,6.0,10.0,9.0,14.0,109.0,8.0
Burnley,442.0,645.0,454.0,43.0,36.0,88.0,330.0,155.0,7.0,3.0,1.0,13.0,10.0,15.0,152.0,9.0
Burnley,442.0,571.0,378.0,35.0,56.0,68.0,317.0,175.0,4.0,10.0,2.0,11.0,25.0,6.0,97.0,14.0
Burnley,442.0,458.0,273.0,31.0,21.0,62.0,190.0,87.0,3.0,3.0,2.0,19.0,13.0,16.0,96.0,19.0
Burnley,4411.0,499.0,307.0,29.0,27.0,51.0,190.0,96.0,3.0,7.0,3.0,12.0,11.0,17.0,134.0,11.0
Burnley,4231.0,877.0,720.0,56.0,26.0,57.0,348.0,149.0,6.0,13.0,2.0,7.0,17.0,4.0,383.0,12.0
Burnley,442.0,558.0,376.0,40.0,23.0,41.0,190.0,75.0,1.0,3.0,1.0,14.0,11.0,15.0,202.0,5.0
Burnley,442.0,544.0,352.0,38.0,39.0,73.0,246.0,107.0,3.0,6.0,0.0,13.0,16.0,6.0,135.0,17.0
Burnley,442.0,616.0,455.0,41.0,37.0,66.0,265.0,120.0,1.0,6.0,5.0,13.0,13.0,10.0,210.0,17.0
Burnley,442.0,481.0,292.0,17.0,27.0,58.0,214.0,104.0,5.0,11.0,0.0,12.0,11.0,12.0,93.0,13.0
