team,formation_used,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Chelsea,3421.0,760.0,549.0,39.0,34.0,59.0,295.0,137.0,2.0,15.0,1.0,19.0,16.0,12.0,271.0,15.0
Chelsea,3421.0,532.0,369.0,27.0,10.0,42.0,166.0,84.0,2.0,3.0,2.0,14.0,16.0,8.0,212.0,6.0
Chelsea,4231.0,736.0,521.0,40.0,36.0,53.0,287.0,124.0,5.0,5.0,1.0,21.0,21.0,8.0,255.0,8.0
Chelsea,3142.0,583.0,410.0,27.0,22.0,57.0,213.0,115.0,6.0,5.0,3.0,25.0,17.0,15.0,206.0,9.0
Chelsea,541.0,505.0,297.0,28.0,18.0,49.0,161.0,71.0,7.0,7.0,4.0,19.0,16.0,15.0,144.0,6.0
Chelsea,3421.0,882.0,713.0,51.0,23.0,53.0,323.0,130.0,8.0,11.0,1.0,18.0,15.0,8.0,401.0,11.0
Chelsea,3421.0,819.0,608.0,27.0,19.0,55.0,288.0,146.0,10.0,8.0,1.0,24.0,20.0,12.0,336.0,11.0
Chelsea,3421.0,752.0,564.0,43.0,31.0,48.0,289.0,133.0,3.0,15.0,2.0,19.0,20.0,6.0,298.0,9.0
Chelsea,3421.0,890.0,723.0,44.0,41.0,62.0,405.0,234.0,8.0,11.0,2.0,13.0,18.0,9.0,332.0,7.0
Chelsea,3421.0,1047.0,898.0,72.0,44.0,80.0,682.0,291.0,5.0,9.0,2.0,15.0,16.0,6.0,252.0,14.0
Chelsea,433.0,821.0,654.0,59.0,23.0,56.0,328.0,166.0,4.0,5.0,2.0,11.0,15.0,18.0,345.0,11.0
Chelsea,4231.0,532.0,314.0,31.0,31.0,60.0,207.0,117.0,3.0,7.0,1.0,19.0,19.0,13.0,126.0,3.0
Chelsea,433.0,726.0,527.0,34.0,30.0,55.0,266.0,126.0,2.0,9.0,4.0,16.0,24.0,16.0,280.0,11.0
Chelsea,433.0,624.0,408.0,37.0,32.0,39.0,261.0,133.0,4.0,19.0,1.0,20.0,16.0,14.0,162.0,12.0
Chelsea,433.0,809.0,657.0,61.0,32.0,67.0,404.0,190.0,4.0,9.0,3.0,13.0,14.0,9.0,279.0,20.0
Chelsea,352.0,487.0,320.0,32.0,25.0,43.0,211.0,105.0,2.0,4.0,1.0,11.0,16.0,5.0,123.0,14.0
Chelsea,442.0,682.0,503.0,38.0,26.0,69.0,287.0,153.0,4.0,9.0,1.0,13.0,24.0,7.0,229.0,9.0
Chelsea,4231.0,876.0,707.0,48.0,25.0,70.0,384.0,157.0,5.0,12.0,1.0,14.0,15.0,13.0,346.0,17.0
Chelsea,433.0,675.0,488.0,19.0,9.0,24.0,116.0,45.0,2.0,3.0,1.0,17.0,18.0,11.0,376.0,10.0
Chelsea,3421.0,797.0,598.0,54.0,51.0,63.0,427.0,228.0,8.0,15.0,0.0,18.0,24.0,9.0,211.0,12.0
Chelsea,3142.0,711.0,537.0,53.0,19.0,46.0,246.0,96.0,8.0,8.0,1.0,18.0,15.0,9.0,307.0,12.0
Chelsea,3412.0,634.0,447.0,22.0,20.0,61.0,301.0,135.0,6.0,3.0,3.0,18.0,23.0,13.0,163.0,9.0
