team1,formation_used1,touches1,total_pass1,long_pass_own_to_opp_success1,pen_area_entries1,final_third_entries1,total_fwd_zone_pass1,total_final_third_passes1,attempts_obox1,attempts_ibox1,fouled_final_third1,total_offside1,total_tackle1,blocked_pass1,interception1,total_back_zone_pass1,fk_foul_lost1
Everton,3412.0,750.0,528.0,61.0,29.0,52.0,317.0,136.0,4.0,5.0,3.0,0.0,12.0,19.0,11.0,246.0,11.0
Everton,343.0,573.0,385.0,28.0,25.0,50.0,235.0,133.0,5.0,5.0,3.0,3.0,14.0,14.0,8.0,163.0,12.0
Everton,4231.0,664.0,469.0,46.0,25.0,62.0,249.0,128.0,6.0,7.0,2.0,2.0,15.0,15.0,7.0,236.0,13.0
Everton,3412.0,644.0,450.0,45.0,17.0,45.0,226.0,94.0,5.0,7.0,1.0,2.0,19.0,20.0,7.0,234.0,8.0
Everton,442.0,687.0,512.0,47.0,26.0,48.0,290.0,145.0,5.0,8.0,3.0,1.0,17.0,25.0,8.0,236.0,10.0
Everton,41212.0,721.0,547.0,57.0,37.0,65.0,318.0,159.0,5.0,9.0,3.0,2.0,8.0,13.0,7.0,261.0,9.0
Everton,442.0,676.0,462.0,44.0,32.0,35.0,244.0,99.0,3.0,6.0,2.0,4.0,26.0,20.0,16.0,239.0,9.0
Everton,4411.0,469.0,313.0,26.0,14.0,51.0,154.0,81.0,6.0,3.0,1.0,0.0,18.0,16.0,14.0,171.0,8.0
Everton,442.0,722.0,545.0,43.0,28.0,58.0,300.0,158.0,4.0,8.0,1.0,2.0,10.0,17.0,12.0,260.0,16.0
Everton,4231.0,679.0,488.0,44.0,35.0,43.0,265.0,119.0,3.0,8.0,1.0,4.0,17.0,19.0,9.0,248.0,13.0
Everton,442.0,502.0,298.0,20.0,25.0,43.0,162.0,98.0,3.0,5.0,5.0,2.0,14.0,22.0,11.0,158.0,12.0
Everton,4231.0,763.0,589.0,42.0,31.0,78.0,332.0,158.0,5.0,5.0,3.0,2.0,15.0,19.0,11.0,280.0,9.0
Everton,343.0,718.0,551.0,41.0,28.0,68.0,315.0,170.0,4.0,9.0,3.0,1.0,9.0,14.0,8.0,255.0,9.0
Everton,433.0,861.0,639.0,53.0,40.0,73.0,336.0,164.0,6.0,4.0,3.0,1.0,17.0,17.0,6.0,335.0,11.0
Everton,343.0,606.0,391.0,37.0,24.0,40.0,236.0,112.0,5.0,10.0,1.0,2.0,19.0,13.0,15.0,168.0,8.0
Everton,433.0,736.0,523.0,41.0,30.0,59.0,277.0,152.0,2.0,5.0,4.0,3.0,25.0,24.0,6.0,275.0,12.0
Everton,433.0,554.0,380.0,31.0,23.0,59.0,200.0,113.0,5.0,6.0,1.0,2.0,16.0,16.0,1.0,192.0,15.0
Everton,3421.0,800.0,618.0,30.0,35.0,55.0,397.0,203.0,5.0,6.0,3.0,2.0,20.0,18.0,9.0,237.0,14.0
Everton,541.0,491.0,322.0,31.0,12.0,41.0,161.0,77.0,4.0,2.0,2.0,1.0,18.0,14.0,12.0,167.0,11.0
