team1,formation_used1,touches1,total_pass1,long_pass_own_to_opp_success1,pen_area_entries1,final_third_entries1,total_fwd_zone_pass1,total_final_third_passes1,attempts_obox1,attempts_ibox1,fouled_final_third1,total_offside1,total_tackle1,blocked_pass1,interception1,total_back_zone_pass1,fk_foul_lost1
Fulham,3421.0,778.0,596.0,37.0,37.0,70.0,367.0,198.0,6.0,8.0,2.0,1.0,18.0,14.0,10.0,266.0,12.0
Fulham,4231.0,755.0,521.0,30.0,61.0,70.0,320.0,190.0,9.0,12.0,1.0,4.0,16.0,16.0,11.0,235.0,11.0
Fulham,3421.0,641.0,439.0,55.0,45.0,62.0,245.0,117.0,5.0,9.0,2.0,3.0,18.0,11.0,9.0,222.0,11.0
Fulham,4231.0,590.0,339.0,35.0,42.0,45.0,206.0,92.0,2.0,11.0,2.0,1.0,20.0,17.0,9.0,157.0,13.0
Fulham,433.0,632.0,444.0,34.0,25.0,38.0,182.0,88.0,1.0,3.0,3.0,1.0,22.0,18.0,8.0,279.0,14.0
Fulham,442.0,754.0,544.0,46.0,36.0,49.0,260.0,128.0,4.0,7.0,2.0,4.0,11.0,21.0,14.0,307.0,13.0
Fulham,4231.0,800.0,597.0,42.0,28.0,63.0,321.0,168.0,8.0,7.0,3.0,1.0,6.0,19.0,7.0,298.0,11.0
Fulham,4231.0,722.0,550.0,51.0,36.0,56.0,273.0,139.0,7.0,13.0,2.0,1.0,13.0,14.0,11.0,295.0,11.0
Fulham,343.0,802.0,598.0,62.0,34.0,70.0,330.0,161.0,4.0,4.0,1.0,1.0,22.0,18.0,13.0,293.0,17.0
Fulham,3421.0,601.0,400.0,35.0,23.0,41.0,171.0,74.0,4.0,8.0,2.0,1.0,12.0,14.0,15.0,244.0,6.0
Fulham,541.0,557.0,328.0,39.0,20.0,50.0,200.0,102.0,3.0,7.0,1.0,1.0,20.0,14.0,18.0,139.0,11.0
Fulham,352.0,573.0,331.0,39.0,26.0,42.0,219.0,107.0,3.0,7.0,1.0,1.0,24.0,8.0,15.0,136.0,15.0
Fulham,3421.0,637.0,426.0,29.0,18.0,67.0,240.0,143.0,2.0,7.0,1.0,1.0,16.0,18.0,17.0,195.0,15.0
Fulham,3421.0,452.0,227.0,20.0,29.0,47.0,159.0,96.0,4.0,6.0,2.0,2.0,17.0,11.0,17.0,85.0,9.0
Fulham,4231.0,838.0,620.0,36.0,28.0,72.0,388.0,218.0,7.0,7.0,2.0,2.0,12.0,20.0,10.0,242.0,14.0
Fulham,4231.0,627.0,395.0,26.0,31.0,46.0,253.0,127.0,7.0,6.0,2.0,1.0,15.0,21.0,10.0,158.0,13.0
Fulham,4321.0,851.0,643.0,56.0,36.0,59.0,434.0,198.0,6.0,10.0,6.0,1.0,19.0,16.0,10.0,238.0,11.0
Fulham,343.0,759.0,538.0,38.0,47.0,66.0,326.0,146.0,5.0,11.0,3.0,3.0,9.0,14.0,7.0,255.0,18.0
Fulham,343.0,775.0,626.0,39.0,26.0,55.0,258.0,123.0,4.0,9.0,4.0,2.0,12.0,13.0,18.0,384.0,12.0
