team1,formation_used1,touches1,total_pass1,long_pass_own_to_opp_success1,pen_area_entries1,final_third_entries1,total_fwd_zone_pass1,total_final_third_passes1,attempts_obox1,attempts_ibox1,fouled_final_third1,total_offside1,total_tackle1,blocked_pass1,interception1,total_back_zone_pass1,fk_foul_lost1
Leeds United,532.0,465.0,268.0,30.0,21.0,44.0,177.0,92.0,7.0,7.0,2.0,3.0,19.0,11.0,8.0,102.0,12.0
Leeds United,4231.0,606.0,395.0,26.0,19.0,47.0,219.0,116.0,4.0,7.0,2.0,2.0,15.0,25.0,6.0,191.0,10.0
Leeds United,4141.0,571.0,385.0,21.0,15.0,29.0,162.0,77.0,3.0,3.0,2.0,2.0,30.0,11.0,8.0,236.0,21.0
Leeds United,4141.0,737.0,525.0,30.0,37.0,49.0,197.0,100.0,5.0,12.0,2.0,4.0,23.0,20.0,10.0,354.0,7.0
Leeds United,352.0,608.0,410.0,31.0,24.0,43.0,228.0,112.0,6.0,3.0,5.0,1.0,17.0,24.0,11.0,200.0,13.0
Leeds United,4231.0,797.0,588.0,37.0,29.0,64.0,359.0,188.0,6.0,9.0,1.0,3.0,17.0,20.0,14.0,244.0,6.0
Leeds United,433.0,431.0,227.0,24.0,15.0,58.0,158.0,84.0,3.0,6.0,2.0,0.0,16.0,11.0,13.0,80.0,14.0
Leeds United,442.0,582.0,365.0,36.0,23.0,59.0,223.0,107.0,5.0,8.0,2.0,2.0,18.0,17.0,11.0,157.0,13.0
Leeds United,442.0,501.0,332.0,32.0,16.0,36.0,195.0,86.0,3.0,5.0,2.0,1.0,11.0,17.0,3.0,147.0,8.0
Leeds United,4231.0,543.0,331.0,30.0,19.0,49.0,196.0,96.0,4.0,6.0,2.0,1.0,13.0,30.0,10.0,147.0,12.0
Leeds United,3421.0,480.0,305.0,35.0,29.0,56.0,207.0,121.0,2.0,5.0,1.0,3.0,10.0,18.0,13.0,112.0,9.0
Leeds United,3331.0,629.0,424.0,38.0,20.0,46.0,177.0,72.0,5.0,6.0,1.0,3.0,17.0,19.0,8.0,259.0,8.0
Leeds United,442.0,446.0,246.0,31.0,20.0,44.0,175.0,79.0,2.0,8.0,2.0,2.0,8.0,15.0,10.0,86.0,13.0
Leeds United,4141.0,747.0,544.0,33.0,48.0,71.0,284.0,160.0,3.0,10.0,3.0,2.0,17.0,20.0,16.0,287.0,12.0
Leeds United,4231.0,486.0,310.0,25.0,14.0,34.0,159.0,57.0,4.0,5.0,4.0,2.0,10.0,6.0,11.0,164.0,8.0
Leeds United,4141.0,834.0,639.0,52.0,42.0,68.0,384.0,179.0,5.0,6.0,3.0,2.0,19.0,14.0,7.0,280.0,9.0
Leeds United,352.0,468.0,269.0,29.0,13.0,51.0,150.0,75.0,3.0,4.0,2.0,2.0,14.0,9.0,21.0,129.0,12.0
Leeds United,4141.0,633.0,429.0,24.0,20.0,37.0,177.0,90.0,1.0,11.0,1.0,2.0,27.0,15.0,9.0,265.0,11.0
Leeds United,4231.0,668.0,438.0,33.0,24.0,50.0,245.0,122.0,7.0,7.0,2.0,3.0,18.0,22.0,16.0,211.0,18.0
