team,formation_used,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Leicester City,4231.0,710.0,492.0,34.0,29.0,45.0,246.0,127.0,2.0,9.0,1.0,18.0,24.0,11.0,270.0,8.0
Leicester City,532.0,469.0,274.0,28.0,19.0,34.0,161.0,56.0,5.0,9.0,1.0,9.0,13.0,6.0,127.0,9.0
Leicester City,433.0,472.0,300.0,32.0,17.0,56.0,200.0,106.0,1.0,3.0,3.0,13.0,20.0,18.0,106.0,12.0
Leicester City,4411.0,419.0,255.0,19.0,13.0,39.0,145.0,70.0,2.0,2.0,1.0,10.0,15.0,10.0,120.0,12.0
Leicester City,352.0,619.0,452.0,22.0,11.0,26.0,116.0,52.0,2.0,3.0,3.0,19.0,19.0,10.0,342.0,13.0
Leicester City,352.0,457.0,291.0,17.0,16.0,38.0,146.0,74.0,5.0,1.0,2.0,14.0,23.0,18.0,152.0,9.0
Leicester City,4231.0,690.0,507.0,33.0,25.0,60.0,283.0,143.0,6.0,6.0,1.0,9.0,15.0,9.0,247.0,3.0
Leicester City,433.0,796.0,561.0,39.0,43.0,64.0,363.0,182.0,4.0,11.0,1.0,23.0,20.0,14.0,229.0,6.0
Leicester City,4141.0,611.0,389.0,30.0,19.0,42.0,168.0,66.0,1.0,7.0,2.0,27.0,17.0,19.0,230.0,16.0
Leicester City,4231.0,822.0,636.0,41.0,28.0,58.0,297.0,151.0,1.0,8.0,3.0,25.0,22.0,5.0,354.0,16.0
Leicester City,442.0,699.0,493.0,36.0,32.0,55.0,273.0,127.0,3.0,5.0,1.0,13.0,24.0,8.0,237.0,11.0
Leicester City,4231.0,701.0,507.0,32.0,28.0,64.0,266.0,138.0,5.0,5.0,1.0,17.0,23.0,14.0,263.0,10.0
Leicester City,433.0,526.0,344.0,28.0,18.0,40.0,182.0,79.0,2.0,9.0,2.0,13.0,12.0,7.0,178.0,9.0
Leicester City,4231.0,629.0,455.0,27.0,24.0,56.0,226.0,110.0,6.0,6.0,1.0,25.0,17.0,15.0,243.0,10.0
Leicester City,541.0,512.0,317.0,21.0,13.0,47.0,205.0,100.0,3.0,7.0,0.0,24.0,10.0,18.0,120.0,21.0
Leicester City,3421.0,679.0,505.0,52.0,31.0,37.0,283.0,108.0,4.0,4.0,1.0,17.0,17.0,10.0,242.0,8.0
Leicester City,4231.0,612.0,397.0,30.0,34.0,52.0,234.0,120.0,5.0,5.0,3.0,14.0,17.0,24.0,189.0,18.0
Leicester City,541.0,476.0,296.0,29.0,19.0,50.0,162.0,79.0,2.0,12.0,2.0,12.0,22.0,21.0,146.0,8.0
Leicester City,4141.0,796.0,621.0,42.0,41.0,47.0,350.0,185.0,3.0,11.0,1.0,13.0,12.0,11.0,299.0,11.0
Leicester City,3421.0,568.0,381.0,20.0,25.0,64.0,206.0,121.0,3.0,4.0,0.0,23.0,17.0,7.0,192.0,16.0
Leicester City,4231.0,728.0,561.0,32.0,15.0,44.0,231.0,92.0,0.0,4.0,0.0,12.0,16.0,8.0,339.0,9.0
Leicester City,3412.0,820.0,633.0,38.0,45.0,87.0,485.0,255.0,10.0,13.0,5.0,19.0,20.0,3.0,180.0,13.0
Leicester City,352.0,812.0,629.0,48.0,45.0,76.0,371.0,188.0,0.0,10.0,1.0,13.0,19.0,12.0,289.0,13.0
Leicester City,3142.0,829.0,616.0,45.0,31.0,60.0,284.0,104.0,3.0,5.0,1.0,23.0,21.0,21.0,345.0,8.0
Leicester City,442.0,522.0,351.0,30.0,41.0,70.0,282.0,137.0,6.0,6.0,3.0,8.0,15.0,9.0,92.0,6.0
Leicester City,4231.0,627.0,450.0,30.0,20.0,60.0,262.0,130.0,8.0,8.0,1.0,16.0,14.0,12.0,201.0,12.0
Leicester City,4231.0,761.0,567.0,52.0,26.0,46.0,305.0,135.0,7.0,6.0,0.0,19.0,26.0,5.0,274.0,15.0
Leicester City,4231.0,651.0,447.0,39.0,14.0,53.0,204.0,104.0,2.0,7.0,3.0,18.0,18.0,9.0,251.0,10.0
Leicester City,4231.0,769.0,573.0,39.0,29.0,59.0,310.0,165.0,12.0,7.0,1.0,19.0,22.0,8.0,284.0,10.0
Leicester City,4231.0,684.0,492.0,40.0,24.0,54.0,230.0,104.0,5.0,4.0,3.0,14.0,20.0,20.0,283.0,11.0
Leicester City,4231.0,809.0,607.0,55.0,31.0,60.0,342.0,163.0,0.0,9.0,2.0,22.0,25.0,9.0,291.0,7.0
Leicester City,4231.0,615.0,406.0,27.0,24.0,56.0,246.0,140.0,5.0,12.0,4.0,19.0,8.0,10.0,172.0,14.0
Leicester City,3421.0,875.0,674.0,50.0,38.0,69.0,436.0,188.0,4.0,9.0,4.0,18.0,21.0,7.0,265.0,6.0
Leicester City,3421.0,648.0,441.0,27.0,23.0,47.0,218.0,105.0,4.0,7.0,1.0,14.0,14.0,17.0,240.0,6.0
Leicester City,3421.0,500.0,302.0,20.0,15.0,31.0,170.0,77.0,1.0,9.0,0.0,20.0,13.0,12.0,144.0,5.0
Leicester City,3421.0,615.0,453.0,28.0,11.0,39.0,236.0,101.0,4.0,2.0,0.0,11.0,16.0,10.0,222.0,9.0
Leicester City,4231.0,847.0,680.0,40.0,31.0,84.0,528.0,233.0,10.0,6.0,2.0,12.0,13.0,8.0,179.0,13.0
Leicester City,4141.0,779.0,604.0,57.0,24.0,43.0,325.0,98.0,2.0,11.0,3.0,17.0,12.0,14.0,296.0,9.0
