team,formation_used,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Liverpool,433.0,427.0,263.0,23.0,5.0,40.0,137.0,63.0,3.0,2.0,1.0,24.0,16.0,10.0,128.0,8.0
Liverpool,442.0,663.0,480.0,31.0,19.0,34.0,203.0,85.0,6.0,6.0,1.0,18.0,26.0,6.0,294.0,6.0
Liverpool,532.0,558.0,350.0,31.0,23.0,48.0,149.0,69.0,1.0,6.0,4.0,15.0,19.0,12.0,217.0,7.0
Liverpool,433.0,511.0,296.0,35.0,15.0,58.0,184.0,97.0,3.0,6.0,2.0,18.0,21.0,17.0,120.0,11.0
Liverpool,442.0,629.0,414.0,42.0,21.0,47.0,195.0,83.0,1.0,9.0,1.0,15.0,16.0,19.0,236.0,8.0
Liverpool,3421.0,738.0,549.0,31.0,20.0,37.0,194.0,87.0,4.0,7.0,4.0,19.0,13.0,11.0,367.0,8.0
Liverpool,532.0,452.0,279.0,22.0,13.0,47.0,152.0,81.0,5.0,4.0,2.0,21.0,13.0,8.0,135.0,10.0
Liverpool,433.0,823.0,649.0,55.0,32.0,56.0,339.0,159.0,3.0,5.0,1.0,18.0,17.0,11.0,331.0,13.0
Liverpool,352.0,590.0,404.0,35.0,22.0,55.0,198.0,101.0,1.0,12.0,3.0,13.0,18.0,15.0,218.0,6.0
Liverpool,433.0,857.0,686.0,49.0,72.0,62.0,480.0,285.0,11.0,16.0,1.0,6.0,10.0,4.0,246.0,11.0
Liverpool,433.0,865.0,667.0,61.0,43.0,62.0,402.0,236.0,8.0,9.0,1.0,16.0,14.0,12.0,287.0,15.0
Liverpool,451.0,404.0,213.0,21.0,15.0,46.0,156.0,76.0,2.0,3.0,5.0,15.0,20.0,13.0,71.0,5.0
Liverpool,442.0,443.0,254.0,25.0,12.0,38.0,128.0,55.0,3.0,5.0,2.0,26.0,15.0,14.0,136.0,9.0
Liverpool,433.0,560.0,395.0,33.0,20.0,38.0,231.0,95.0,3.0,6.0,3.0,19.0,10.0,13.0,189.0,14.0
Liverpool,433.0,766.0,572.0,52.0,40.0,46.0,329.0,118.0,5.0,19.0,2.0,9.0,15.0,10.0,268.0,15.0
Liverpool,541.0,472.0,304.0,24.0,20.0,38.0,174.0,71.0,3.0,4.0,1.0,18.0,17.0,11.0,148.0,14.0
Liverpool,352.0,602.0,406.0,35.0,33.0,55.0,295.0,171.0,4.0,9.0,2.0,22.0,25.0,4.0,131.0,15.0
Liverpool,343.0,561.0,395.0,21.0,9.0,29.0,120.0,51.0,1.0,3.0,5.0,11.0,18.0,7.0,283.0,7.0
Liverpool,4141.0,695.0,459.0,32.0,15.0,44.0,166.0,80.0,2.0,4.0,5.0,34.0,13.0,12.0,302.0,6.0
Liverpool,4411.0,560.0,389.0,35.0,47.0,67.0,278.0,147.0,4.0,6.0,1.0,14.0,9.0,10.0,147.0,10.0
Liverpool,433.0,886.0,699.0,38.0,62.0,72.0,481.0,282.0,12.0,14.0,2.0,8.0,11.0,6.0,248.0,14.0
Liverpool,4231.0,714.0,511.0,29.0,27.0,47.0,260.0,122.0,5.0,13.0,1.0,22.0,16.0,9.0,272.0,10.0
Liverpool,433.0,539.0,322.0,35.0,30.0,40.0,192.0,109.0,0.0,12.0,0.0,15.0,21.0,10.0,147.0,15.0
Liverpool,433.0,879.0,703.0,48.0,32.0,58.0,384.0,152.0,7.0,9.0,0.0,18.0,10.0,6.0,340.0,10.0
Liverpool,433.0,667.0,467.0,39.0,23.0,53.0,263.0,136.0,3.0,9.0,1.0,14.0,21.0,14.0,216.0,10.0
Liverpool,433.0,802.0,638.0,51.0,32.0,56.0,358.0,154.0,3.0,13.0,1.0,12.0,20.0,5.0,294.0,9.0
Liverpool,4231.0,585.0,357.0,21.0,11.0,33.0,126.0,43.0,3.0,8.0,2.0,23.0,17.0,17.0,237.0,7.0
Liverpool,4312.0,927.0,785.0,53.0,35.0,81.0,470.0,188.0,4.0,10.0,1.0,13.0,16.0,4.0,328.0,8.0
Liverpool,433.0,756.0,587.0,38.0,29.0,49.0,368.0,188.0,3.0,11.0,2.0,10.0,17.0,16.0,231.0,11.0
Liverpool,433.0,879.0,675.0,47.0,61.0,85.0,412.0,209.0,5.0,12.0,1.0,16.0,18.0,11.0,306.0,12.0
Liverpool,433.0,875.0,661.0,53.0,46.0,76.0,396.0,160.0,5.0,6.0,4.0,10.0,16.0,15.0,302.0,13.0
Liverpool,433.0,907.0,743.0,59.0,25.0,64.0,340.0,137.0,3.0,11.0,0.0,19.0,15.0,19.0,414.0,11.0
Liverpool,433.0,925.0,707.0,43.0,50.0,82.0,468.0,193.0,5.0,7.0,2.0,21.0,16.0,7.0,272.0,5.0
Liverpool,433.0,692.0,526.0,46.0,16.0,57.0,301.0,132.0,3.0,3.0,2.0,13.0,11.0,8.0,237.0,13.0
Liverpool,4231.0,696.0,555.0,46.0,17.0,43.0,263.0,100.0,3.0,4.0,2.0,12.0,14.0,5.0,301.0,19.0
Liverpool,433.0,714.0,524.0,53.0,43.0,54.0,326.0,161.0,7.0,15.0,3.0,18.0,16.0,3.0,218.0,9.0
Liverpool,433.0,854.0,650.0,50.0,32.0,56.0,346.0,191.0,4.0,10.0,1.0,14.0,24.0,12.0,324.0,10.0
Liverpool,433.0,934.0,764.0,60.0,51.0,74.0,490.0,277.0,8.0,10.0,1.0,14.0,19.0,8.0,298.0,6.0
