team1,formation_used1,touches1,total_pass1,long_pass_own_to_opp_success1,pen_area_entries1,final_third_entries1,total_fwd_zone_pass1,total_final_third_passes1,attempts_obox1,attempts_ibox1,fouled_final_third1,total_offside1,total_tackle1,blocked_pass1,interception1,total_back_zone_pass1,fk_foul_lost1
Manchester City,4312.0,489.0,340.0,28.0,20.0,51.0,169.0,82.0,4.0,4.0,1.0,1.0,12.0,9.0,10.0,182.0,10.0
Manchester City,3421.0,738.0,580.0,32.0,19.0,37.0,232.0,113.0,7.0,5.0,2.0,5.0,15.0,15.0,3.0,360.0,10.0
Manchester City,4141.0,428.0,252.0,17.0,12.0,30.0,123.0,55.0,2.0,14.0,1.0,3.0,16.0,12.0,8.0,138.0,15.0
Manchester City,442.0,627.0,481.0,23.0,18.0,43.0,197.0,87.0,4.0,7.0,3.0,4.0,22.0,15.0,13.0,291.0,4.0
Manchester City,4231.0,915.0,715.0,34.0,39.0,67.0,489.0,257.0,10.0,13.0,3.0,1.0,17.0,22.0,14.0,247.0,9.0
Manchester City,3421.0,485.0,309.0,20.0,8.0,25.0,134.0,48.0,1.0,5.0,1.0,1.0,17.0,9.0,7.0,182.0,5.0
Manchester City,3421.0,532.0,394.0,28.0,15.0,39.0,181.0,74.0,3.0,6.0,1.0,1.0,13.0,10.0,20.0,226.0,11.0
Manchester City,4231.0,623.0,456.0,33.0,10.0,32.0,185.0,70.0,4.0,3.0,2.0,1.0,23.0,11.0,8.0,279.0,13.0
Manchester City,532.0,416.0,273.0,23.0,10.0,27.0,132.0,64.0,4.0,6.0,1.0,1.0,15.0,11.0,10.0,144.0,10.0
Manchester City,4231.0,458.0,285.0,26.0,10.0,36.0,154.0,81.0,5.0,6.0,2.0,1.0,14.0,7.0,15.0,138.0,9.0
Manchester City,4141.0,456.0,288.0,12.0,9.0,37.0,111.0,69.0,1.0,1.0,1.0,0.0,15.0,18.0,8.0,182.0,8.0
Manchester City,41212.0,544.0,384.0,25.0,15.0,34.0,185.0,87.0,3.0,2.0,1.0,2.0,21.0,20.0,11.0,214.0,12.0
Manchester City,541.0,425.0,272.0,25.0,22.0,33.0,159.0,69.0,3.0,4.0,2.0,3.0,11.0,20.0,16.0,131.0,12.0
Manchester City,4141.0,380.0,224.0,15.0,8.0,34.0,131.0,52.0,2.0,3.0,1.0,2.0,13.0,14.0,12.0,98.0,8.0
Manchester City,3412.0,531.0,351.0,24.0,17.0,43.0,177.0,88.0,2.0,4.0,2.0,1.0,17.0,12.0,18.0,181.0,6.0
Manchester City,4411.0,479.0,315.0,20.0,26.0,46.0,202.0,98.0,5.0,4.0,2.0,2.0,14.0,16.0,12.0,133.0,4.0
Manchester City,4231.0,618.0,459.0,36.0,29.0,43.0,215.0,98.0,5.0,5.0,4.0,5.0,13.0,13.0,4.0,255.0,11.0
Manchester City,433.0,618.0,462.0,21.0,19.0,35.0,167.0,76.0,4.0,7.0,2.0,2.0,13.0,13.0,6.0,308.0,10.0
Manchester City,541.0,430.0,267.0,21.0,11.0,30.0,132.0,56.0,3.0,4.0,3.0,3.0,23.0,10.0,8.0,142.0,8.0
