team1,formation_used1,touches1,total_pass1,long_pass_own_to_opp_success1,pen_area_entries1,final_third_entries1,total_fwd_zone_pass1,total_final_third_passes1,attempts_obox1,attempts_ibox1,fouled_final_third1,total_offside1,total_tackle1,blocked_pass1,interception1,total_back_zone_pass1,fk_foul_lost1
Southampton,442.0,620.0,392.0,37.0,28.0,55.0,251.0,132.0,12.0,6.0,5.0,2.0,23.0,22.0,13.0,157.0,10.0
Southampton,3421.0,740.0,547.0,38.0,27.0,42.0,214.0,97.0,3.0,7.0,1.0,1.0,23.0,21.0,11.0,346.0,15.0
Southampton,442.0,716.0,531.0,45.0,31.0,37.0,252.0,100.0,2.0,11.0,1.0,1.0,13.0,21.0,3.0,298.0,20.0
Southampton,442.0,458.0,272.0,21.0,7.0,41.0,131.0,62.0,2.0,3.0,2.0,1.0,14.0,14.0,8.0,143.0,9.0
Southampton,442.0,634.0,424.0,38.0,38.0,53.0,242.0,129.0,12.0,12.0,1.0,1.0,14.0,11.0,8.0,202.0,11.0
Southampton,442.0,535.0,330.0,31.0,33.0,68.0,231.0,121.0,3.0,5.0,3.0,1.0,24.0,15.0,11.0,117.0,10.0
Southampton,442.0,486.0,295.0,25.0,10.0,50.0,157.0,82.0,3.0,4.0,2.0,4.0,17.0,21.0,15.0,146.0,10.0
Southampton,442.0,660.0,476.0,25.0,18.0,43.0,221.0,81.0,3.0,4.0,1.0,6.0,23.0,20.0,14.0,266.0,10.0
Southampton,4231.0,535.0,336.0,30.0,18.0,48.0,216.0,113.0,1.0,7.0,3.0,5.0,23.0,14.0,16.0,130.0,11.0
Southampton,4231.0,536.0,353.0,29.0,21.0,48.0,203.0,124.0,2.0,7.0,2.0,2.0,15.0,15.0,7.0,166.0,6.0
Southampton,442.0,572.0,352.0,33.0,9.0,43.0,157.0,64.0,6.0,1.0,1.0,6.0,18.0,14.0,16.0,199.0,5.0
Southampton,442.0,757.0,576.0,55.0,31.0,55.0,337.0,139.0,4.0,4.0,3.0,2.0,15.0,17.0,11.0,258.0,16.0
Southampton,442.0,686.0,498.0,35.0,32.0,41.0,241.0,93.0,2.0,7.0,2.0,3.0,26.0,21.0,10.0,281.0,9.0
Southampton,532.0,425.0,259.0,30.0,23.0,43.0,195.0,99.0,5.0,3.0,1.0,3.0,17.0,14.0,13.0,80.0,14.0
Southampton,442.0,731.0,525.0,38.0,19.0,39.0,229.0,81.0,5.0,5.0,3.0,0.0,22.0,21.0,12.0,309.0,12.0
Southampton,442.0,751.0,561.0,41.0,25.0,44.0,274.0,93.0,6.0,9.0,1.0,4.0,32.0,17.0,12.0,299.0,12.0
Southampton,442.0,805.0,610.0,48.0,25.0,32.0,293.0,110.0,3.0,10.0,1.0,1.0,18.0,15.0,8.0,333.0,11.0
Southampton,442.0,706.0,522.0,38.0,30.0,52.0,286.0,109.0,5.0,8.0,2.0,1.0,21.0,23.0,15.0,249.0,19.0
Southampton,442.0,611.0,460.0,33.0,21.0,72.0,266.0,131.0,5.0,9.0,4.0,2.0,8.0,21.0,8.0,206.0,17.0
