team1,formation_used1,touches1,total_pass1,long_pass_own_to_opp_success1,pen_area_entries1,final_third_entries1,total_fwd_zone_pass1,total_final_third_passes1,attempts_obox1,attempts_ibox1,fouled_final_third1,total_offside1,total_tackle1,blocked_pass1,interception1,total_back_zone_pass1,fk_foul_lost1
West Ham United,442.0,715.0,534.0,38.0,24.0,49.0,271.0,111.0,6.0,11.0,2.0,2.0,23.0,23.0,7.0,273.0,9.0
West Ham United,442.0,471.0,278.0,27.0,18.0,38.0,132.0,63.0,2.0,7.0,1.0,2.0,24.0,13.0,6.0,160.0,10.0
West Ham United,3421.0,776.0,566.0,46.0,21.0,58.0,321.0,156.0,7.0,10.0,3.0,3.0,22.0,22.0,9.0,254.0,11.0
West Ham United,3412.0,551.0,365.0,36.0,15.0,49.0,195.0,75.0,5.0,4.0,3.0,3.0,10.0,13.0,15.0,178.0,7.0
West Ham United,4231.0,785.0,606.0,29.0,38.0,63.0,386.0,214.0,7.0,9.0,5.0,1.0,10.0,11.0,9.0,247.0,8.0
West Ham United,4141.0,721.0,528.0,40.0,29.0,51.0,268.0,114.0,6.0,11.0,5.0,1.0,19.0,15.0,10.0,280.0,9.0
West Ham United,4231.0,764.0,569.0,39.0,32.0,54.0,339.0,141.0,12.0,8.0,4.0,1.0,16.0,13.0,7.0,260.0,7.0
West Ham United,352.0,672.0,500.0,37.0,34.0,61.0,341.0,175.0,3.0,5.0,1.0,1.0,18.0,13.0,6.0,185.0,12.0
West Ham United,4231.0,524.0,365.0,22.0,20.0,43.0,184.0,75.0,2.0,6.0,1.0,2.0,15.0,18.0,18.0,203.0,7.0
West Ham United,4411.0,536.0,375.0,30.0,29.0,78.0,241.0,130.0,4.0,2.0,1.0,2.0,19.0,13.0,8.0,150.0,10.0
West Ham United,4231.0,576.0,364.0,30.0,32.0,65.0,238.0,127.0,3.0,12.0,2.0,5.0,8.0,12.0,10.0,158.0,12.0
West Ham United,3421.0,748.0,574.0,31.0,28.0,56.0,293.0,142.0,5.0,8.0,1.0,1.0,11.0,16.0,12.0,294.0,8.0
West Ham United,442.0,583.0,422.0,36.0,25.0,52.0,274.0,125.0,1.0,7.0,1.0,0.0,23.0,12.0,4.0,162.0,12.0
West Ham United,3421.0,567.0,392.0,36.0,27.0,49.0,230.0,107.0,5.0,14.0,3.0,4.0,12.0,20.0,13.0,187.0,9.0
West Ham United,433.0,699.0,518.0,38.0,39.0,66.0,307.0,160.0,6.0,10.0,5.0,3.0,6.0,9.0,6.0,241.0,7.0
West Ham United,4231.0,629.0,460.0,39.0,27.0,45.0,289.0,140.0,6.0,7.0,4.0,2.0,12.0,12.0,5.0,190.0,9.0
West Ham United,541.0,478.0,325.0,40.0,22.0,43.0,181.0,76.0,4.0,2.0,1.0,1.0,15.0,20.0,10.0,156.0,14.0
West Ham United,343.0,822.0,626.0,60.0,29.0,68.0,393.0,135.0,7.0,4.0,2.0,2.0,17.0,21.0,8.0,251.0,11.0
West Ham United,442.0,526.0,342.0,31.0,29.0,58.0,226.0,114.0,5.0,10.0,1.0,4.0,13.0,10.0,5.0,136.0,7.0
