team1,formation_used1,touches1,total_pass1,long_pass_own_to_opp_success1,pen_area_entries1,final_third_entries1,total_fwd_zone_pass1,total_final_third_passes1,attempts_obox1,attempts_ibox1,fouled_final_third1,total_offside1,total_tackle1,blocked_pass1,interception1,total_back_zone_pass1,fk_foul_lost1
Wolverhampton Wanderers,352.0,744.0,571.0,46.0,33.0,68.0,351.0,160.0,4.0,10.0,3.0,1.0,19.0,14.0,10.0,250.0,14.0
Wolverhampton Wanderers,4411.0,567.0,373.0,33.0,25.0,35.0,208.0,117.0,7.0,5.0,1.0,2.0,15.0,19.0,12.0,175.0,7.0
Wolverhampton Wanderers,3412.0,663.0,474.0,36.0,21.0,38.0,227.0,75.0,8.0,4.0,2.0,2.0,16.0,21.0,13.0,274.0,8.0
Wolverhampton Wanderers,3421.0,682.0,512.0,46.0,31.0,62.0,336.0,168.0,3.0,5.0,3.0,2.0,19.0,10.0,6.0,204.0,15.0
Wolverhampton Wanderers,4231.0,826.0,628.0,64.0,34.0,78.0,350.0,145.0,5.0,15.0,2.0,1.0,20.0,16.0,9.0,309.0,9.0
Wolverhampton Wanderers,3412.0,714.0,508.0,41.0,35.0,55.0,270.0,106.0,2.0,8.0,1.0,2.0,18.0,22.0,21.0,267.0,17.0
Wolverhampton Wanderers,343.0,500.0,308.0,31.0,20.0,42.0,204.0,85.0,10.0,5.0,2.0,1.0,17.0,13.0,10.0,117.0,13.0
Wolverhampton Wanderers,343.0,635.0,429.0,32.0,21.0,21.0,213.0,88.0,6.0,7.0,2.0,1.0,19.0,30.0,15.0,238.0,11.0
Wolverhampton Wanderers,4231.0,639.0,488.0,41.0,24.0,45.0,247.0,98.0,3.0,6.0,1.0,3.0,13.0,9.0,4.0,253.0,8.0
Wolverhampton Wanderers,4231.0,452.0,270.0,26.0,13.0,39.0,172.0,81.0,4.0,8.0,2.0,2.0,19.0,18.0,7.0,104.0,14.0
Wolverhampton Wanderers,433.0,727.0,558.0,45.0,29.0,58.0,320.0,155.0,5.0,7.0,5.0,1.0,14.0,15.0,13.0,264.0,6.0
Wolverhampton Wanderers,3412.0,644.0,466.0,34.0,16.0,36.0,231.0,92.0,2.0,4.0,2.0,2.0,14.0,15.0,11.0,242.0,13.0
Wolverhampton Wanderers,433.0,698.0,494.0,37.0,44.0,54.0,322.0,157.0,6.0,7.0,4.0,1.0,14.0,16.0,7.0,206.0,12.0
Wolverhampton Wanderers,433.0,542.0,331.0,37.0,34.0,55.0,236.0,120.0,5.0,8.0,5.0,2.0,8.0,11.0,9.0,123.0,15.0
Wolverhampton Wanderers,442.0,691.0,516.0,42.0,21.0,37.0,226.0,73.0,2.0,5.0,3.0,1.0,20.0,12.0,3.0,302.0,14.0
Wolverhampton Wanderers,433.0,722.0,552.0,52.0,23.0,41.0,285.0,111.0,5.0,6.0,3.0,2.0,10.0,21.0,8.0,285.0,4.0
Wolverhampton Wanderers,343.0,877.0,702.0,65.0,17.0,91.0,413.0,188.0,12.0,4.0,3.0,1.0,11.0,16.0,8.0,307.0,10.0
Wolverhampton Wanderers,4231.0,713.0,524.0,39.0,31.0,49.0,281.0,117.0,4.0,6.0,3.0,0.0,14.0,12.0,5.0,271.0,8.0
Wolverhampton Wanderers,532.0,545.0,356.0,38.0,20.0,30.0,153.0,49.0,4.0,6.0,2.0,2.0,25.0,19.0,15.0,216.0,7.0
